event,realtime_us,pad,value
created,1783142887590953,1,0
created,1783142887590963,2,0
a,1783142894986184,1,1
a,1783142895066269,1,0
b,1783142895066284,2,1
b,1783142895146354,2,0
x,1783142895549851,1,1
x,1783142895590172,1,0
y,1783142895848288,2,1
y,1783142895888641,2,0
dpad_right,1783142896154878,1,1
dpad_right,1783142896195232,1,0
dpad_up,1783142896558216,2,1
dpad_up,1783142896598588,2,0
lt,1783142896961713,1,255
lt,1783142897058597,1,0
rt,1783142897365278,2,255
rt,1783142897462068,2,0
neutral,1783142900188438,1,0
neutral,1783142900188450,2,0
ff_upload,1783142902207218,1,-1018137296
ff_play,1783142902208291,1,0
ff_upload,1783142902208298,2,-1018137296
ff_play,1783142902209364,2,0
removed,1783142902315459,1,0
recreated,1783142903315787,1,0
reconnect_a,1783142905316181,1,1
reconnect_a,1783142905396571,1,0
ff_upload,1783142905396592,2,0
ff_play,1783142905397661,2,0
