event,realtime_us,trial
active,1783142813933886,1
neutral,1783142815433951,1
active,1783142820434028,2
neutral,1783142821934079,2
active,1783142826934152,3
neutral,1783142828434215,3
active,1783142833434296,4
neutral,1783142834934355,4
