event,realtime_us,trial
active,1783141241197427,1
neutral,1783141242697491,1
active,1783141245197588,2
neutral,1783141246697654,2
active,1783141249197735,3
neutral,1783141250697800,3
active,1783141253197894,4
neutral,1783141254697960,4
