realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783107626867102,0,1,11414,-22987,-15988,14787,-20158,0,0,0
1783107626867122,1,1,11427,756,21985,17725,9262,0,0,0
1783107626868204,0,1,11416,-22230,-17025,14787,-20158,0,0,0
1783107626868219,1,1,11429,1663,21936,17725,9262,0,0,0
1783107626869303,0,1,11418,-22230,-17025,15962,-19241,0,0,0
1783107626869320,1,1,11431,1663,21936,18170,8356,0,0,0
1783107626870404,0,1,11420,-21426,-18026,15962,-19241,0,0,0
1783107626870423,1,1,11433,2567,21848,18170,8356,0,0,0
1783107626871538,0,1,11422,-21426,-18026,17080,-18256,0,0,0
1783107626871555,1,1,11435,2567,21848,18568,7429,0,0,0
1783107626872644,0,1,11423,-20577,-18026,17080,-18256,0,0,0
1783107626872664,1,1,11437,3466,21724,18568,7429,0,0,0
1783107626873751,0,1,11425,-20577,-18989,18137,-18256,0,0,0
1783107626873768,1,1,11439,3466,21724,18919,6483,0,0,0
1783107626874850,0,1,11427,-19685,-18989,18137,-17206,0,0,0
1783107626874866,1,1,11441,4360,21562,18919,6483,0,0,0
1783107626875945,0,1,11429,-19685,-19913,19130,-17206,0,0,0
1783107626875962,1,1,11443,4360,21562,19222,5521,0,0,0
1783107626877047,0,1,11431,-18751,-19913,19130,-16095,0,0,0
1783107626877070,1,1,11445,5246,21364,19222,5521,0,0,0
1783107626878141,0,1,11432,-18751,-20794,19130,-16095,0,0,0
1783107626878157,1,1,11447,5246,21364,19476,4545,0,0,0
1783107626879243,0,1,11434,-18751,-20794,20055,-14926,0,0,0
1783107626879261,1,1,11449,6123,21129,19476,4545,0,0,0
1783107626880349,0,1,11436,-17778,-21632,20055,-14926,0,0,0
1783107626880424,1,1,11451,6123,21129,19680,3557,0,0,0
1783107626881510,0,1,11437,-17778,-21632,20909,-14926,0,0,0
1783107626881550,1,1,11453,6990,20859,19680,3557,0,0,0
1783107626882632,0,1,11439,-16768,-21632,20909,-13705,0,0,0
1783107626882650,1,1,11454,6990,20859,19835,3557,0,0,0
1783107626883726,0,1,11441,-16768,-22424,21688,-13705,0,0,0
1783107626883743,1,1,11456,7844,20859,19835,2560,0,0,0
1783107626884830,0,1,11443,-15722,-22424,21688,-12434,0,0,0
1783107626884847,1,1,11458,7844,20552,19939,2560,0,0,0
1783107626885932,0,1,11445,-15722,-23170,22391,-12434,0,0,0
1783107626885951,1,1,11460,8686,20552,19939,1556,0,0,0
1783107626887035,0,1,11446,-15722,-23170,22391,-11120,0,0,0
1783107626887052,1,1,11462,8686,20211,19992,1556,0,0,0
1783107626888138,0,1,11448,-14643,-23866,22391,-11120,0,0,0
1783107626888155,1,1,11464,9512,20211,19992,549,0,0,0
1783107626889239,0,1,11450,-14643,-23866,23013,-9766,0,0,0
1783107626889256,1,1,11466,9512,19835,19994,549,0,0,0
1783107626890335,0,1,11452,-13534,-24512,23013,-9766,0,0,0
1783107626890358,1,1,11467,9512,19835,19994,-459,0,0,0
1783107626891446,0,1,11453,-13534,-24512,23554,-9766,0,0,0
1783107626891468,1,1,11470,10323,19426,19946,-459,0,0,0
1783107626892554,0,1,11455,-12396,-24512,23554,-8377,0,0,0
1783107626892571,1,1,11471,10323,19426,19946,-1467,0,0,0
1783107626893656,0,1,11457,-12396,-25107,24012,-8377,0,0,0
1783107626893731,1,1,11474,11116,18983,19846,-1467,0,0,0
1783107626894800,0,1,11459,-11231,-25107,24012,-6959,0,0,0
1783107626894819,1,1,11475,11116,18983,19846,-2471,0,0,0
1783107626895899,0,1,11461,-11231,-25649,24384,-6959,0,0,0
1783107626895918,1,1,11477,11890,18509,19846,-2471,0,0,0
1783107626896999,0,1,11463,-10044,-25649,24384,-5516,0,0,0
1783107626897014,1,1,11479,11890,18509,19697,-3468,0,0,0
1783107626898099,0,1,11465,-10044,-26137,24669,-5516,0,0,0
1783107626898121,1,1,11481,12643,18002,19697,-3468,0,0,0
1783107626899202,0,1,11466,-10044,-26137,24669,-4053,0,0,0
1783107626899221,1,1,11483,12643,18002,19497,-4457,0,0,0
1783107626900303,0,1,11468,-8835,-26570,24669,-4053,0,0,0
1783107626900322,1,1,11485,13376,17465,19497,-4457,0,0,0
1783107626901406,0,1,11470,-8835,-26570,24867,-2576,0,0,0
1783107626901427,1,1,11487,13376,17465,19247,-5435,0,0,0
1783107626902515,0,1,11472,-7608,-26947,24867,-2576,0,0,0
1783107626902531,1,1,11489,14085,16898,19247,-5435,0,0,0
1783107626903618,0,1,11474,-7608,-26947,24976,-1089,0,0,0
1783107626903633,1,1,11491,14085,16898,18949,-6399,0,0,0
1783107626904717,0,1,11476,-6364,-27268,24976,-1089,0,0,0
1783107626904763,1,1,11493,14770,16303,18949,-6399,0,0,0
1783107626905842,0,1,11478,-6364,-27268,24996,400,0,0,0
1783107626905864,1,1,11494,14770,16303,18602,-6399,0,0,0
1783107626906948,0,1,11480,-5107,-27531,24996,400,0,0,0
1783107626906964,1,1,11496,15430,16303,18602,-7346,0,0,0
1783107626908054,0,1,11481,-5107,-27531,24928,400,0,0,0
1783107626908073,1,1,11498,15430,15679,18208,-7346,0,0,0
1783107626909140,0,1,11483,-3840,-27531,24928,1889,0,0,0
1783107626909157,1,1,11500,16064,15679,18208,-8275,0,0,0
1783107626910204,0,1,11485,-3840,-27736,24771,1889,0,0,0
1783107626910222,1,1,11502,16064,15029,17767,-8275,0,0,0
1783107626911306,0,1,11487,-2564,-27736,24771,3371,0,0,0
1783107626911324,1,1,11504,16671,15029,17767,-9182,0,0,0
1783107626912410,0,1,11488,-2564,-27883,24771,3371,0,0,0
1783107626912427,1,1,11506,16671,14353,17282,-9182,0,0,0
1783107626913510,0,1,11490,-2564,-27883,24526,4841,0,0,0
1783107626913526,1,1,11508,17249,14353,17282,-10067,0,0,0
1783107626914612,0,1,11492,-1283,-27971,24526,4841,0,0,0
1783107626914631,1,1,11510,17249,13653,16752,-10067,0,0,0
1783107626915715,0,1,11494,-1283,-27971,24194,6293,0,0,0
1783107626915733,1,1,11512,17798,13653,16752,-10925,0,0,0
1783107626916814,0,1,11496,0,-28001,24194,6293,0,0,0
1783107626916830,1,1,11513,17798,12930,16752,-10925,0,0,0
1783107626917879,0,1,11498,0,-28001,23776,7724,0,0,0
1783107626917961,1,1,11515,17798,12930,16180,-11756,0,0,0
1783107626919042,0,1,11501,1283,-27971,23273,7724,0,0,0
1783107626919117,1,1,11516,18316,12930,16180,-11756,0,0,0
1783107626920202,0,1,11503,2564,-27971,23273,9127,0,0,0
1783107626920219,1,1,11518,18316,12184,15566,-11756,0,0,0
1783107626921302,0,1,11505,2564,-27883,22688,9127,0,0,0
1783107626921322,1,1,11520,18804,12184,15566,-12557,0,0,0
1783107626922414,0,1,11507,3840,-27883,22688,10498,0,0,0
1783107626922430,1,1,11522,18804,11418,14913,-12557,0,0,0
1783107626923513,0,1,11509,3840,-27736,22022,10498,0,0,0
1783107626923528,1,1,11523,18804,11418,14913,-13326,0,0,0
1783107626924611,0,1,11511,5107,-27736,22022,11831,0,0,0
1783107626924627,1,1,11525,19259,10632,14913,-13326,0,0,0
1783107626925711,0,1,11513,5107,-27531,21278,11831,0,0,0
1783107626925727,1,1,11527,19259,10632,14222,-14061,0,0,0
1783107626926810,0,1,11515,6364,-27531,21278,13122,0,0,0
1783107626926826,1,1,11529,19681,9829,14222,-14061,0,0,0
1783107626927906,0,1,11516,6364,-27268,21278,13122,0,0,0
1783107626927924,1,1,11531,19681,9829,13495,-14761,0,0,0
1783107626929006,0,1,11518,6364,-27268,20458,14367,0,0,0
1783107626929026,1,1,11533,20070,9008,13495,-14761,0,0,0
1783107626930111,0,1,11520,7608,-26947,20458,14367,0,0,0
1783107626930213,1,1,11535,20070,9008,12734,-15422,0,0,0
1783107626931363,0,1,11522,7608,-26947,19566,15560,0,0,0
1783107626931382,1,1,11537,20425,8172,12734,-15422,0,0,0
1783107626932462,0,1,11523,8835,-26947,19566,15560,0,0,0
1783107626932493,1,1,11539,20425,8172,11940,-16045,0,0,0
1783107626933578,0,1,11525,8835,-26570,18604,15560,0,0,0
1783107626933687,1,1,11541,20745,7322,11940,-16045,0,0,0
1783107626934766,0,1,11527,10044,-26570,18604,16698,0,0,0
1783107626934782,1,1,11543,20745,7322,11116,-16627,0,0,0
1783107626935969,0,1,11530,10044,-26137,17576,17777,0,0,0
1783107626936053,1,1,11545,21029,6460,11116,-16627,0,0,0
1783107626937139,0,1,11532,11231,-25649,17576,17777,0,0,0
1783107626937223,1,1,11547,21029,6460,10263,-17166,0,0,0
1783107626938306,0,1,11533,11231,-25649,16485,17777,0,0,0
1783107626938389,1,1,11549,21278,5587,10263,-17166,0,0,0
1783107626939464,0,1,11536,12396,-25107,16485,18793,0,0,0
1783107626939484,1,1,11550,21278,5587,9384,-17166,0,0,0
1783107626940575,0,1,11537,12396,-25107,15336,18793,0,0,0
1783107626940593,1,1,11552,21490,5587,9384,-17662,0,0,0
1783107626941676,0,1,11539,13534,-25107,15336,19742,0,0,0
1783107626941696,1,1,11555,21490,4704,8482,-18113,0,0,0
1783107626942780,0,1,11541,13534,-24512,14132,19742,0,0,0
1783107626942842,1,1,11557,21666,3813,8482,-18113,0,0,0
1783107626943926,0,1,11542,13534,-24512,14132,20621,0,0,0
1783107626943945,1,1,11558,21666,3813,7558,-18113,0,0,0
1783107626945082,0,1,11545,14643,-23866,12878,20621,0,0,0
1783107626945135,1,1,11561,21805,2916,7558,-18517,0,0,0
1783107626946190,0,1,11547,15722,-23866,12878,21426,0,0,0
1783107626946267,1,1,11563,21805,2916,6614,-18875,0,0,0
1783107626947350,0,1,11549,15722,-23170,11579,21426,0,0,0
1783107626947369,1,1,11564,21907,2916,6614,-18875,0,0,0
1783107626948448,0,1,11551,16768,-23170,11579,22155,0,0,0
1783107626948465,1,1,11566,21907,2014,5654,-18875,0,0,0
1783107626949517,0,1,11553,16768,-22424,10238,22155,0,0,0
1783107626949538,1,1,11568,21972,2014,5654,-19184,0,0,0
1783107626950623,0,1,11554,16768,-22424,10238,22806,0,0,0
1783107626950641,1,1,11570,21972,1108,4680,-19184,0,0,0
1783107626951729,0,1,11557,17778,-21632,8860,22806,0,0,0
1783107626951749,1,1,11572,21999,1108,4680,-19445,0,0,0
1783107626952848,0,1,11559,18751,-21632,8860,23375,0,0,0
1783107626952870,1,1,11574,21999,200,3693,-19445,0,0,0
1783107626953957,0,1,11560,18751,-20794,8860,23375,0,0,0
1783107626953973,1,1,11576,21988,200,3693,-19656,0,0,0
1783107626955059,0,1,11562,18751,-20794,7452,23862,0,0,0
1783107626955076,1,1,11577,21988,-707,3693,-19656,0,0,0
1783107626956140,0,1,11564,19685,-19913,7452,23862,0,0,0
1783107626956160,1,1,11579,21988,-707,2697,-19818,0,0,0
1783107626957255,0,1,11565,19685,-19913,6017,23862,0,0,0
1783107626957277,1,1,11581,21940,-1613,2697,-19818,0,0,0
1783107626958360,0,1,11567,20577,-19913,6017,24264,0,0,0
1783107626958377,1,1,11583,21940,-1613,1694,-19929,0,0,0
1783107626959461,0,1,11569,20577,-18989,4560,24264,0,0,0
1783107626959480,1,1,11585,21855,-2517,1694,-19929,0,0,0
1783107626960561,0,1,11571,21426,-18989,4560,24579,0,0,0
1783107626960579,1,1,11586,21855,-2517,687,-19929,0,0,0
1783107626961664,0,1,11573,21426,-18026,3087,24579,0,0,0
1783107626961681,1,1,11587,21855,-2517,687,-19989,0,0,0
1783107626962802,0,1,11576,22230,-17025,3087,24807,0,0,0
1783107626962825,1,1,11589,21733,-3417,687,-19989,0,0,0
1783107626963868,0,1,11577,22230,-17025,1604,24807,0,0,0
1783107626963890,1,1,11591,21733,-3417,-321,-19998,0,0,0
1783107626964979,0,1,11579,22987,-17025,1604,24947,0,0,0
1783107626965000,1,1,11592,21573,-3417,-321,-19998,0,0,0
1783107626966083,0,1,11581,22987,-15988,114,24947,0,0,0
1783107626966101,1,1,11594,21573,-4311,-1329,-19998,0,0,0
1783107626967140,0,1,11583,23696,-15988,114,24998,0,0,0
1783107626967158,1,1,11596,21377,-4311,-1329,-19956,0,0,0
1783107626968241,0,1,11585,23696,-14917,-1375,24998,0,0,0
1783107626968259,1,1,11597,21377,-5198,-1329,-19956,0,0,0
1783107626969340,0,1,11587,24355,-14917,-1375,24961,0,0,0
1783107626969356,1,1,11599,21377,-5198,-2333,-19864,0,0,0
1783107626970437,0,1,11589,24355,-13815,-2860,24961,0,0,0
1783107626970459,1,1,11601,21144,-6075,-2333,-19864,0,0,0
1783107626971541,0,1,11591,24962,-13815,-2860,24834,0,0,0
1783107626971559,1,1,11602,21144,-6075,-3332,-19864,0,0,0
1783107626972705,0,1,11593,24962,-12684,-4334,24834,0,0,0
1783107626972770,1,1,11605,20875,-6943,-3332,-19721,0,0,0
1783107626973851,0,1,11594,24962,-12684,-4334,24620,0,0,0
1783107626973870,1,1,11607,20875,-6943,-4322,-19528,0,0,0
1783107626975028,0,1,11597,25517,-11526,-5794,24620,0,0,0
1783107626975087,1,1,11609,20571,-7798,-4322,-19528,0,0,0
1783107626976143,0,1,11599,26019,-11526,-5794,24318,0,0,0
1783107626976162,1,1,11610,20571,-7798,-5301,-19528,0,0,0
1783107626977245,0,1,11601,26019,-10344,-7233,24318,0,0,0
1783107626977261,1,1,11612,20232,-7798,-5301,-19285,0,0,0
1783107626978337,0,1,11602,26019,-10344,-7233,23929,0,0,0
1783107626978355,1,1,11614,20232,-8640,-6267,-19285,0,0,0
1783107626979438,0,1,11604,26466,-9140,-7233,23929,0,0,0
1783107626979480,1,1,11617,19858,-9468,-6267,-18993,0,0,0
1783107626980566,0,1,11605,26466,-9140,-8646,23929,0,0,0
1783107626980584,1,1,11619,19858,-9468,-7217,-18653,0,0,0
1783107626981667,0,1,11608,26857,-7917,-8646,23456,0,0,0
1783107626981687,1,1,11620,19451,-9468,-7217,-18653,0,0,0
1783107626982747,0,1,11609,26857,-7917,-10028,23456,0,0,0
1783107626982764,1,1,11622,19451,-10279,-8148,-18653,0,0,0
1783107626983846,0,1,11611,27192,-7917,-10028,22899,0,0,0
1783107626983867,1,1,11624,19010,-10279,-8148,-18265,0,0,0
1783107626984954,0,1,11613,27192,-6677,-11375,22899,0,0,0
1783107626984995,1,1,11626,19010,-11073,-9059,-18265,0,0,0
1783107626986086,0,1,11615,27469,-6677,-11375,22261,0,0,0
1783107626986106,1,1,11627,19010,-11073,-9059,-17831,0,0,0
1783107626987199,0,1,11617,27469,-5424,-12681,22261,0,0,0
1783107626987217,1,1,11630,18537,-11848,-9946,-17831,0,0,0
1783107626988297,0,1,11619,27689,-5424,-12681,21543,0,0,0
1783107626988313,1,1,11632,18032,-11848,-9946,-17352,0,0,0
1783107626989401,0,1,11621,27689,-4159,-13942,21543,0,0,0
1783107626989426,1,1,11634,18032,-12603,-10809,-17352,0,0,0
1783107626990510,0,1,11623,27851,-4159,-13942,20749,0,0,0
1783107626990589,1,1,11636,17497,-12603,-10809,-16828,0,0,0
1783107626991671,0,1,11625,27851,-2885,-15154,20749,0,0,0
1783107626991692,1,1,11637,17497,-13336,-10809,-16828,0,0,0
1783107626992774,0,1,11627,27954,-2885,-15154,19882,0,0,0
1783107626992789,1,1,11639,17497,-13336,-11644,-16261,0,0,0
1783107626993870,0,1,11629,27954,-1605,-16312,19882,0,0,0
1783107626993887,1,1,11641,16931,-14047,-11644,-16261,0,0,0
1783107626994969,0,1,11631,27998,-1605,-16312,18943,0,0,0
1783107626994987,1,1,11643,16931,-14047,-12449,-15653,0,0,0
1783107626996072,0,1,11632,27998,-322,-16312,18943,0,0,0
1783107626996089,1,1,11645,16337,-14734,-12449,-15653,0,0,0
1783107626997134,0,1,11634,27998,-322,-17412,17938,0,0,0
1783107626997176,1,1,11647,16337,-14734,-13222,-15006,0,0,0
1783107626998264,0,1,11636,27983,961,-17412,17938,0,0,0
1783107626998289,1,1,11649,15716,-15395,-13222,-15006,0,0,0
1783107626999376,0,1,11638,27983,961,-18450,16868,0,0,0
1783107626999395,1,1,11651,15716,-15395,-13962,-14320,0,0,0
1783107627000480,0,1,11640,27909,2243,-18450,16868,0,0,0
1783107627000528,1,1,11653,15067,-16031,-13962,-14320,0,0,0
1783107627001619,0,1,11642,27909,2243,-19422,15739,0,0,0
1783107627001693,1,1,11655,15067,-16031,-14666,-13598,0,0,0
1783107627002732,0,1,11644,27777,3521,-19422,15739,0,0,0
1783107627002751,1,1,11656,14393,-16031,-14666,-13598,0,0,0
1783107627003832,0,1,11646,27777,3521,-20326,14554,0,0,0
1783107627003851,1,1,11658,14393,-16639,-15333,-13598,0,0,0
1783107627004984,0,1,11648,27586,4790,-20326,14554,0,0,0
1783107627005046,1,1,11660,13694,-16639,-15333,-12841,0,0,0
1783107627006135,0,1,11650,27586,4790,-21157,13317,0,0,0
1783107627006152,1,1,11662,13694,-17219,-15961,-12841,0,0,0
1783107627007235,0,1,11652,27338,6050,-21157,13317,0,0,0
1783107627007252,1,1,11663,13694,-17219,-15961,-12051,0,0,0
1783107627008333,0,1,11654,27338,6050,-21913,12032,0,0,0
1783107627008349,1,1,11665,12972,-17769,-15961,-12051,0,0,0
1783107627009431,0,1,11655,27032,6050,-21913,12032,0,0,0
1783107627009451,1,1,11667,12972,-17769,-16549,-11231,0,0,0
1783107627010534,0,1,11657,27032,7297,-22591,12032,0,0,0
1783107627010549,1,1,11669,12227,-18289,-16549,-11231,0,0,0
1783107627011631,0,1,11659,26668,7297,-22591,10705,0,0,0
1783107627011649,1,1,11671,12227,-18289,-17094,-10382,0,0,0
1783107627012734,0,1,11661,26668,8529,-23189,10705,0,0,0
1783107627012752,1,1,11673,11462,-18778,-17094,-10382,0,0,0
1783107627013834,0,1,11663,26249,8529,-23189,9340,0,0,0
1783107627013852,1,1,11675,11462,-18778,-17596,-9507,0,0,0
1783107627014932,0,1,11665,26249,9742,-23704,9340,0,0,0
1783107627014950,1,1,11677,10678,-19235,-17596,-9507,0,0,0
1783107627015995,0,1,11667,25775,9742,-23704,7942,0,0,0
1783107627016013,1,1,11679,10678,-19235,-18053,-8607,0,0,0
1783107627017098,0,1,11668,25775,10936,-23704,7942,0,0,0
1783107627017120,1,1,11681,9875,-19660,-18053,-8607,0,0,0
1783107627018207,0,1,11670,25775,10936,-24135,6515,0,0,0
1783107627018273,1,1,11683,9875,-19660,-18464,-7686,0,0,0
1783107627019360,0,1,11672,25246,12106,-24135,6515,0,0,0
1783107627019379,1,1,11685,9055,-20050,-18464,-7686,0,0,0
1783107627020465,0,1,11674,25246,12106,-24481,5065,0,0,0
1783107627020484,1,1,11687,9055,-20050,-18828,-6745,0,0,0
1783107627021568,0,1,11676,24665,13251,-24481,5065,0,0,0
1783107627021586,1,1,11688,8220,-20050,-18828,-6745,0,0,0
1783107627022710,0,1,11678,24665,13251,-24739,3598,0,0,0
1783107627022779,1,1,11691,8220,-20407,-19144,-5787,0,0,0
1783107627023876,0,1,11680,24031,14368,-24739,3598,0,0,0
1783107627023923,1,1,11692,7371,-20407,-19144,-5787,0,0,0
1783107627025002,0,1,11682,24031,14368,-24910,2117,0,0,0
1783107627025019,1,1,11694,7371,-20729,-19412,-5787,0,0,0
1783107627026106,0,1,11684,23347,15454,-24910,2117,0,0,0
1783107627026131,1,1,11696,6509,-20729,-19412,-4814,0,0,0
1783107627027217,0,1,11686,23347,15454,-24992,629,0,0,0
1783107627027236,1,1,11698,6509,-21015,-19630,-4814,0,0,0
1783107627028322,0,1,11688,22614,16508,-24992,629,0,0,0
1783107627028338,1,1,11699,6509,-21015,-19630,-3829,0,0,0
1783107627029420,0,1,11690,22614,16508,-24985,-860,0,0,0
1783107627029441,1,1,11701,5637,-21266,-19630,-3829,0,0,0
1783107627030527,0,1,11692,21833,17528,-24985,-860,0,0,0
1783107627030546,1,1,11703,5637,-21266,-19798,-2834,0,0,0
1783107627031651,0,1,11694,21833,17528,-24889,-2348,0,0,0
1783107627031668,1,1,11705,4754,-21481,-19798,-2834,0,0,0
1783107627032799,0,1,11696,21007,18510,-24889,-2348,0,0,0
1783107627032865,1,1,11707,4754,-21481,-19915,-1832,0,0,0
