realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141271399020,0,0,0,0,0,0,0,0
1783141272396899,1,3840,-27736,4684,-24558,0,0,0
1783141272397997,2,14643,-23866,17113,-18225,0,0,0
1783141272399088,3,22987,-15988,24214,-6218,0,0,0
1783141272401253,4,27469,-5424,23776,7724,0,0,0
1783141272402340,5,27032,7297,14694,20224,0,0,0
1783141272403385,6,21833,17528,1569,24949,0,0,0
1783141272404467,7,11817,25383,-13395,21107,0,0,0
1783141272405550,9,642,27991,-22620,10643,0,0,0
1783141272406633,10,-10640,25898,-24802,-3134,0,0,0
1783141272407685,11,-20136,19454,-19262,-15936,0,0,0
1783141272408770,12,-26249,9742,-7725,-23777,0,0,0
1783141272409856,14,-27851,-2885,7725,-23777,0,0,0
1783141272410939,15,-24355,-13815,19262,-15936,0,0,0
1783141272412022,16,-16768,-22424,24802,-3134,0,0,0
1783141272413106,17,-6364,-27268,22620,10643,0,0,0
1783141272414186,19,6364,-27268,12043,21906,0,0,0
1783141272415308,20,16768,-22424,-1569,24949,0,0,0
1783141272417468,21,24355,-13815,-14694,20224,0,0,0
1783141272418554,22,27954,-1605,-23776,7724,0,0,0
1783141272419638,23,26249,9742,-24214,-6218,0,0,0
1783141272420720,24,20136,19454,-17113,-18225,0,0,0
1783141272421804,25,10640,25898,-4684,-24558,0,0,0
1783141272422887,27,-1924,27932,10644,-22621,0,0,0
1783141272423970,28,-12968,24814,21108,-13396,0,0,0
1783141272425054,29,-21833,17528,25000,-1,0,0,0
1783141272426139,30,-27338,6050,20225,14693,0,0,0
1783141272427223,31,-27469,-5424,9203,23243,0,0,0
1783141272428308,32,-22987,-15988,-4684,24556,0,0,0
1783141272429386,34,-13534,-24512,-18224,17112,0,0,0
1783141272430480,35,-2564,-27883,-24557,4683,0,0,0
1783141272432598,37,10044,-26137,-22620,-10645,0,0,0
1783141272433682,38,19685,-19913,-13395,-21109,0,0,0
1783141272434771,39,26019,-10344,0,-25001,0,0,0
1783141272435853,40,27983,961,13395,-21109,0,0,0
1783141272436938,42,24665,13251,23244,-9204,0,0,0
1783141272438024,43,17277,22032,24557,4683,0,0,0
1783141272439108,44,6988,27112,18224,17112,0,0,0
1783141272440192,45,-5737,27404,4684,24556,0,0,0
1783141272441274,46,-16249,22801,-9203,23243,0,0,0
1783141272442362,47,-24031,14368,-20225,14693,0,0,0
1783141272443446,48,-27777,3521,-24950,1568,0,0,0
1783141272444534,49,-26857,-7917,-21907,-12044,0,0,0
1783141272445675,51,-20577,-18989,-10644,-22621,0,0,0
1783141272446758,52,-11231,-25649,3133,-24803,0,0,0
1783141272447896,53,1283,-27971,17113,-18225,0,0,0
1783141272449041,54,12396,-25107,24214,-6218,0,0,0
1783141272451188,55,21426,-18026,23776,7724,0,0,0
1783141272452277,57,27192,-6677,14694,20224,0,0,0
1783141272453364,58,27586,4790,1569,24949,0,0,0
1783141272454446,60,22614,16508,-13395,21107,0,0,0
1783141272455531,62,14092,24194,-22620,10643,0,0,0
1783141272456618,63,3203,27815,-24802,-3134,0,0,0
1783141272457702,64,-8223,26764,-19262,-15936,0,0,0
1783141272458785,65,-18269,21217,-7725,-23777,0,0,0
1783141272459868,67,-25775,10936,7725,-23777,0,0,0
1783141272460950,68,-27998,-322,19262,-15936,0,0,0
1783141272462031,69,-25517,-11526,24802,-3134,0,0,0
1783141272463112,70,-18751,-20794,22620,10643,0,0,0
1783141272464284,72,-7608,-26947,12043,21906,0,0,0
1783141272465372,73,3840,-27736,-1569,24949,0,0,0
