realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141480210879,97,-26668,8529,-6217,-24215,0,0,0
1783141480214127,98,-27032,7297,-4684,-24558,0,0,0
1783141480218461,99,-27338,6050,-3133,-24803,0,0,0
1783141480222789,100,-27586,4790,-1569,-24951,0,0,0
1783141480226041,101,-27777,3521,0,-25001,0,0,0
1783141480230366,102,-27909,2243,1569,-24951,0,0,0
1783141480234697,103,-27983,961,3133,-24803,0,0,0
1783141480237943,104,-27998,-322,4684,-24558,0,0,0
1783141480242262,105,-27954,-1605,6217,-24215,0,0,0
1783141480246545,106,-27851,-2885,7725,-23777,0,0,0
1783141480250870,107,-27689,-4159,9203,-23245,0,0,0
1783141480254112,108,-27469,-5424,10644,-22621,0,0,0
1783141480258442,109,-27192,-6677,12043,-21908,0,0,0
1783141480262739,110,-26857,-7917,13395,-21109,0,0,0
1783141480265987,111,-26466,-9140,14694,-20226,0,0,0
1783141480270316,112,-26019,-10344,15935,-19263,0,0,0
1783141480274654,113,-25517,-11526,17113,-18225,0,0,0
1783141480277904,114,-24962,-12684,18224,-17114,0,0,0
1783141480282231,115,-24355,-13815,19262,-15936,0,0,0
1783141480286550,116,-23696,-14917,20225,-14695,0,0,0
1783141480290890,117,-22987,-15988,21108,-13396,0,0,0
1783141480294137,118,-22230,-17025,21907,-12044,0,0,0
1783141480298468,119,-21426,-18026,22620,-10645,0,0,0
1783141480302807,120,-20577,-18989,23244,-9204,0,0,0
1783141480306052,121,-19685,-19913,23776,-7726,0,0,0
1783141480310338,122,-18751,-20794,24214,-6218,0,0,0
1783141480314722,123,-17778,-21632,24557,-4685,0,0,0
1783141480317975,124,-16768,-22424,24802,-3134,0,0,0
1783141480322301,125,-15722,-23170,24950,-1570,0,0,0
1783141480326626,126,-14643,-23866,25000,-1,0,0,0
1783141480330964,127,-13534,-24512,24950,1568,0,0,0
1783141480334209,128,-12396,-25107,24802,3132,0,0,0
1783141480338553,129,-11231,-25649,24557,4683,0,0,0
1783141480342891,130,-10044,-26137,24214,6216,0,0,0
1783141480346135,131,-8835,-26570,23776,7724,0,0,0
1783141480350470,132,-7608,-26947,23244,9202,0,0,0
1783141480354795,133,-6364,-27268,22620,10643,0,0,0
1783141480358046,134,-5107,-27531,21907,12042,0,0,0
1783141480362377,135,-3840,-27736,21108,13394,0,0,0
1783141480366702,136,-2564,-27883,20225,14693,0,0,0
1783141480371032,137,-1283,-27971,19262,15934,0,0,0
1783141480374281,138,0,-28001,18224,17112,0,0,0
1783141480378612,139,1283,-27971,17113,18223,0,0,0
1783141480382941,140,2564,-27883,15935,19261,0,0,0
1783141480386188,141,3840,-27736,14694,20224,0,0,0
1783141480390477,142,5107,-27531,13395,21107,0,0,0
1783141480394803,143,6364,-27268,12043,21906,0,0,0
1783141480398048,144,7608,-26947,10644,22619,0,0,0
1783141480404548,145,8835,-26570,9203,23243,0,0,0
1783141480406715,146,10044,-26137,7725,23775,0,0,0
1783141480411055,147,11231,-25649,6217,24213,0,0,0
1783141480414301,148,12396,-25107,4684,24556,0,0,0
1783141480418624,149,13534,-24512,3133,24801,0,0,0
1783141480422968,150,14643,-23866,1569,24949,0,0,0
1783141480426226,151,15722,-23170,0,24999,0,0,0
1783141480430550,152,16768,-22424,-1569,24949,0,0,0
1783141480434880,153,17778,-21632,-3133,24801,0,0,0
1783141480438128,154,18751,-20794,-4684,24556,0,0,0
1783141480442465,155,19685,-19913,-6217,24213,0,0,0
1783141480446792,156,20577,-18989,-7725,23775,0,0,0
1783141480450002,157,21426,-18026,-9203,23243,0,0,0
1783141480454338,158,22230,-17025,-10644,22619,0,0,0
1783141480458632,159,22987,-15988,-12043,21906,0,0,0
1783141480462963,160,23696,-14917,-13395,21107,0,0,0
1783141480466205,161,24355,-13815,-14694,20224,0,0,0
1783141480470554,162,24962,-12684,-15935,19261,0,0,0
1783141480474880,163,25517,-11526,-17113,18223,0,0,0
1783141480478133,164,26019,-10344,-18224,17112,0,0,0
1783141480482466,165,26466,-9140,-19262,15934,0,0,0
1783141480486796,166,26857,-7917,-20225,14693,0,0,0
1783141480490045,167,27192,-6677,-21108,13394,0,0,0
1783141480494386,168,27469,-5424,-21907,12042,0,0,0
1783141480498716,169,27689,-4159,-22620,10643,0,0,0
1783141480503042,170,27851,-2885,-23244,9202,0,0,0
1783141480506292,171,27954,-1605,-23776,7724,0,0,0
1783141480510622,172,27998,-322,-24214,6216,0,0,0
1783141480514945,173,27983,961,-24557,4683,0,0,0
1783141480518199,174,27909,2243,-24802,3132,0,0,0
1783141480522536,175,27777,3521,-24950,1568,0,0,0
1783141480526876,176,27586,4790,-25000,-1,0,0,0
1783141480530122,177,27338,6050,-24950,-1570,0,0,0
1783141480534449,178,27032,7297,-24802,-3134,0,0,0
1783141480538784,179,26668,8529,-24557,-4685,0,0,0
1783141480542032,180,26249,9742,-24214,-6218,0,0,0
1783141480546365,181,25775,10936,-23776,-7726,0,0,0
1783141480550690,182,25246,12106,-23244,-9204,0,0,0
1783141480555026,183,24665,13251,-22620,-10645,0,0,0
1783141480558277,184,24031,14368,-21907,-12044,0,0,0
1783141480562611,185,23347,15454,-21108,-13396,0,0,0
1783141480566938,186,22614,16508,-20225,-14695,0,0,0
1783141480570185,187,21833,17528,-19262,-15936,0,0,0
1783141480574468,188,21007,18510,-18224,-17114,0,0,0
1783141480578799,189,20136,19454,-17113,-18225,0,0,0
1783141480583120,190,19223,20357,-15935,-19263,0,0,0
1783141480586375,191,18269,21217,-14694,-20226,0,0,0
1783141480590699,192,17277,22032,-13395,-21109,0,0,0
1783141480595024,193,16249,22801,-12043,-21908,0,0,0
1783141480598268,194,15187,23522,-10644,-22621,0,0,0
1783141480602563,195,14092,24194,-9203,-23245,0,0,0
1783141480606893,196,12968,24814,-7725,-23777,0,0,0
1783141480610141,197,11817,25383,-6217,-24215,0,0,0
1783141480614465,198,10640,25898,-4684,-24558,0,0,0
1783141480618750,199,9442,26358,-3133,-24803,0,0,0
1783141480623084,200,8223,26764,-1569,-24951,0,0,0
1783141480626331,201,6988,27112,0,-25001,0,0,0
1783141480630631,202,5737,27404,1569,-24951,0,0,0
1783141480634968,203,4475,27639,3133,-24803,0,0,0
1783141480638217,204,3203,27815,4684,-24558,0,0,0
1783141480642548,205,1924,27932,6217,-24215,0,0,0
1783141480646887,206,642,27991,7725,-23777,0,0,0
1783141480650133,207,-642,27991,9203,-23245,0,0,0
1783141480654471,208,-1924,27932,10644,-22621,0,0,0
1783141480658806,209,-3203,27815,12043,-21908,0,0,0
1783141480663132,210,-4475,27639,13395,-21109,0,0,0
1783141480666385,211,-5737,27404,14694,-20226,0,0,0
1783141480670673,212,-6988,27112,15935,-19263,0,0,0
1783141480675014,213,-8223,26764,17113,-18225,0,0,0
1783141480678260,214,-9442,26358,18224,-17114,0,0,0
1783141480682548,215,-10640,25898,19262,-15936,0,0,0
1783141480686885,216,-11817,25383,20225,-14695,0,0,0
1783141480690130,217,-12968,24814,21108,-13396,0,0,0
1783141480694465,218,-14092,24194,21907,-12044,0,0,0
1783141480698788,219,-15187,23522,22620,-10645,0,0,0
1783141480702032,220,-16249,22801,23244,-9204,0,0,0
1783141480706360,221,-17277,22032,23776,-7726,0,0,0
1783141480710687,222,-18269,21217,24214,-6218,0,0,0
1783141480714927,223,-19223,20357,24557,-4685,0,0,0
1783141480718172,224,-20136,19454,24802,-3134,0,0,0
1783141480722461,225,-21007,18510,24950,-1570,0,0,0
1783141480726787,226,-21833,17528,25000,-1,0,0,0
1783141480730035,227,-22614,16508,24950,1568,0,0,0
1783141480734370,228,-23347,15454,24802,3132,0,0,0
1783141480738692,229,-24031,14368,24557,4683,0,0,0
1783141480741935,230,-24665,13251,24214,6216,0,0,0
1783141480746259,231,-25246,12106,23776,7724,0,0,0
1783141480750552,232,-25775,10936,23244,9202,0,0,0
1783141480754877,233,-26249,9742,22620,10643,0,0,0
1783141480758127,234,-26668,8529,21907,12042,0,0,0
1783141480762453,235,-27032,7297,21108,13394,0,0,0
1783141480766779,236,-27338,6050,20225,14693,0,0,0
1783141480770024,237,-27586,4790,19262,15934,0,0,0
1783141480774358,238,-27777,3521,18224,17112,0,0,0
1783141480778682,239,-27909,2243,17113,18223,0,0,0
1783141480783004,240,-27983,961,15935,19261,0,0,0
1783141480786249,241,-27998,-322,14694,20224,0,0,0
1783141480790546,242,-27954,-1605,13395,21107,0,0,0
1783141480794872,243,-27851,-2885,12043,21906,0,0,0
1783141480798116,244,-27689,-4159,10644,22619,0,0,0
1783141480802443,245,-27469,-5424,9203,23243,0,0,0
1783141480806779,246,-27192,-6677,7725,23775,0,0,0
1783141480810022,247,-26857,-7917,6217,24213,0,0,0
1783141480814350,248,-26466,-9140,4684,24556,0,0,0
1783141480818685,249,-26019,-10344,3133,24801,0,0,0
1783141480823005,250,-25517,-11526,1569,24949,0,0,0
1783141480826255,251,-24962,-12684,0,24999,0,0,0
1783141480830550,252,-24355,-13815,-1569,24949,0,0,0
1783141480834876,253,-23696,-14917,-3133,24801,0,0,0
1783141480838124,254,-22987,-15988,-4684,24556,0,0,0
1783141480842463,255,-22230,-17025,-6217,24213,0,0,0
1783141480846775,256,-21426,-18026,-7725,23775,0,0,0
1783141480851105,257,-20577,-18989,-9203,23243,0,0,0
1783141480854351,258,-19685,-19913,-10644,22619,0,0,0
1783141480858689,259,-18751,-20794,-12043,21906,0,0,0
1783141480863019,260,-17778,-21632,-13395,21107,0,0,0
1783141480866263,261,-16768,-22424,-14694,20224,0,0,0
1783141480870530,262,-15722,-23170,-15935,19261,0,0,0
1783141480874861,263,-14643,-23866,-17113,18223,0,0,0
1783141480878109,264,-13534,-24512,-18224,17112,0,0,0
1783141480882442,265,-12396,-25107,-19262,15934,0,0,0
1783141480886773,266,-11231,-25649,-20225,14693,0,0,0
1783141480891122,267,-10044,-26137,-21108,13394,0,0,0
1783141480894372,268,-8835,-26570,-21907,12042,0,0,0
1783141480898704,269,-7608,-26947,-22620,10643,0,0,0
1783141480903028,270,-6364,-27268,-23244,9202,0,0,0
1783141480906275,271,-5107,-27531,-23776,7724,0,0,0
1783141480910603,272,-3840,-27736,-24214,6216,0,0,0
1783141480914932,273,-2564,-27883,-24557,4683,0,0,0
1783141480918176,274,-1283,-27971,-24802,3132,0,0,0
1783141480922465,275,0,-28001,-24950,1568,0,0,0
1783141480926791,276,1283,-27971,-25000,-1,0,0,0
1783141480931118,277,2564,-27883,-24950,-1570,0,0,0
1783141480934350,278,3840,-27736,-24802,-3134,0,0,0
1783141480938684,279,5107,-27531,-24557,-4685,0,0,0
1783141480943018,280,6364,-27268,-24214,-6218,0,0,0
1783141480946265,281,7608,-26947,-23776,-7726,0,0,0
1783141480950605,282,8835,-26570,-23244,-9204,0,0,0
1783141480954888,283,10044,-26137,-22620,-10645,0,0,0
1783141480958133,284,11231,-25649,-21907,-12044,0,0,0
1783141480962466,285,12396,-25107,-21108,-13396,0,0,0
1783141480966792,286,13534,-24512,-20225,-14695,0,0,0
1783141480971118,287,14643,-23866,-19262,-15936,0,0,0
1783141480974366,288,15722,-23170,-18224,-17114,0,0,0
1783141480978694,289,16768,-22424,-17113,-18225,0,0,0
1783141480983022,290,17778,-21632,-15935,-19263,0,0,0
