realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106909537202,26273,-24665,13251,18224,-17114,0,0,0
1783106909538285,26276,-25246,13251,19262,-15936,0,0,0
1783106909539369,26280,-25775,12106,20225,-14695,0,0,0
1783106909540499,26284,-26249,10936,21108,-13396,0,0,0
1783106909541580,26287,-26249,9742,21907,-12044,0,0,0
1783106909542664,26291,-26668,8529,22620,-10645,0,0,0
1783106909543746,26294,-27032,7297,23244,-10645,0,0,0
1783106909544830,26298,-27338,6050,23776,-9204,0,0,0
1783106909545952,26302,-27586,4790,24214,-7726,0,0,0
1783106909547034,26305,-27777,3521,24214,-6218,0,0,0
1783106909548137,26309,-27909,2243,24557,-4685,0,0,0
1783106909549219,26312,-27983,2243,24802,-3134,0,0,0
1783106909550309,26316,-27998,961,24950,-1570,0,0,0
1783106909551399,26319,-27998,-322,25000,-1,0,0,0
1783106909552482,26322,-27954,-1605,24950,-1,0,0,0
1783106909553635,26326,-27851,-2885,24802,1568,0,0,0
1783106909554722,26329,-27689,-4159,24802,3132,0,0,0
1783106909555805,26332,-27469,-4159,24557,4683,0,0,0
1783106909556889,26336,-27192,-5424,24214,6216,0,0,0
1783106909557973,26339,-27192,-6677,23776,7724,0,0,0
1783106909559055,26342,-26857,-7917,23244,7724,0,0,0
1783106909560140,26346,-26466,-9140,22620,9202,0,0,0
1783106909561252,26350,-26019,-10344,21907,10643,0,0,0
1783106909562338,26353,-25517,-11526,21907,12042,0,0,0
1783106909563463,26357,-24962,-12684,21108,13394,0,0,0
1783106909564544,26360,-24355,-12684,20225,14693,0,0,0
1783106909565624,26364,-23696,-13815,19262,15934,0,0,0
1783106909566712,26367,-23696,-14917,18224,17112,0,0,0
1783106909567808,26371,-22987,-15988,17113,18223,0,0,0
1783106909568893,26374,-22230,-17025,15935,18223,0,0,0
1783106909569981,26378,-21426,-18026,14694,19261,0,0,0
1783106909571155,26382,-20577,-18989,13395,20224,0,0,0
1783106909572238,26385,-19685,-19913,13395,21107,0,0,0
1783106909573391,26389,-18751,-20794,12043,21906,0,0,0
1783106909574473,26392,-17778,-20794,10644,22619,0,0,0
1783106909575552,26396,-16768,-21632,9203,23243,0,0,0
1783106909576633,26400,-15722,-22424,7725,23775,0,0,0
1783106909577744,26404,-14643,-23170,6217,24213,0,0,0
1783106909578832,26407,-14643,-23866,4684,24556,0,0,0
1783106909579914,26411,-13534,-24512,3133,24801,0,0,0
1783106909580995,26414,-12396,-25107,1569,24801,0,0,0
1783106909582077,26418,-11231,-25649,0,24949,0,0,0
1783106909583143,26422,-10044,-26137,-1569,24999,0,0,0
1783106909584225,26425,-8835,-26570,-1569,24949,0,0,0
1783106909585312,26429,-7608,-26947,-3133,24801,0,0,0
1783106909586394,26432,-6364,-26947,-4684,24556,0,0,0
1783106909587475,26436,-5107,-27268,-6217,24213,0,0,0
1783106909588556,26439,-5107,-27531,-7725,23775,0,0,0
1783106909589637,26443,-3840,-27736,-9203,23243,0,0,0
1783106909590715,26446,-2564,-27883,-10644,23243,0,0,0
1783106909591798,26450,-1283,-27971,-12043,22619,0,0,0
1783106909592836,26453,0,-28001,-12043,21906,0,0,0
1783106909593913,26457,1283,-27971,-13395,21107,0,0,0
1783106909595028,26461,2564,-27883,-14694,20224,0,0,0
1783106909596116,26464,3840,-27883,-15935,19261,0,0,0
1783106909597222,26468,5107,-27736,-17113,18223,0,0,0
1783106909598303,26471,5107,-27531,-18224,17112,0,0,0
1783106909599394,26475,6364,-27268,-19262,15934,0,0,0
1783106909600481,26478,7608,-26947,-20225,15934,0,0,0
1783106909601563,26482,8835,-26570,-21108,14693,0,0,0
1783106909602648,26486,10044,-26137,-21907,13394,0,0,0
1783106909603730,26489,11231,-25649,-21907,12042,0,0,0
1783106909604812,26493,12396,-25107,-22620,10643,0,0,0
1783106909605903,26496,13534,-25107,-23244,9202,0,0,0
1783106909606986,26500,14643,-24512,-23776,7724,0,0,0
1783106909608065,26504,15722,-23866,-24214,6216,0,0,0
1783106909609145,26507,15722,-23170,-24557,4683,0,0,0
1783106909610227,26511,16768,-22424,-24802,3132,0,0,0
1783106909611310,26514,17778,-21632,-24950,3132,0,0,0
1783106909612395,26518,18751,-20794,-25000,1568,0,0,0
1783106909613433,26521,19685,-19913,-25000,-1,0,0,0
1783106909614513,26525,20577,-18989,-24950,-1570,0,0,0
1783106909615597,26528,21426,-18989,-24802,-3134,0,0,0
1783106909616678,26532,22230,-18026,-24557,-4685,0,0,0
1783106909617785,26536,22987,-17025,-24214,-6218,0,0,0
1783106909618867,26539,22987,-15988,-23776,-7726,0,0,0
1783106909619991,26543,23696,-14917,-23244,-9204,0,0,0
1783106909621074,26546,24355,-13815,-22620,-9204,0,0,0
1783106909622142,26550,24962,-12684,-21907,-10645,0,0,0
1783106909623222,26554,25517,-11526,-21108,-12044,0,0,0
1783106909624302,26557,26019,-10344,-21108,-13396,0,0,0
1783106909625384,26561,26466,-9140,-20225,-14695,0,0,0
1783106909626471,26564,26857,-9140,-19262,-15936,0,0,0
1783106909627504,26568,27192,-7917,-18224,-17114,0,0,0
1783106909628589,26571,27192,-6677,-17113,-18225,0,0,0
1783106909629671,26574,27469,-5424,-15935,-18225,0,0,0
1783106909630751,26578,27689,-4159,-14694,-19263,0,0,0
1783106909631837,26582,27851,-2885,-13395,-20226,0,0,0
1783106909632925,26585,27954,-1605,-13395,-21109,0,0,0
1783106909633999,26589,27998,-322,-12043,-21908,0,0,0
1783106909635082,26593,27983,961,-10644,-22621,0,0,0
1783106909636226,26597,27909,2243,-9203,-23245,0,0,0
1783106909637307,26600,27777,2243,-7725,-23777,0,0,0
1783106909638394,26604,27586,3521,-6217,-24215,0,0,0
1783106909639481,26607,27586,4790,-4684,-24558,0,0,0
1783106909640563,26611,27338,6050,-3133,-24803,0,0,0
1783106909641643,26615,27032,7297,-1569,-24951,0,0,0
1783106909642742,26619,26668,8529,0,-25001,0,0,0
1783106909643863,26623,26249,9742,1569,-24951,0,0,0
1783106909644947,26626,25775,10936,3133,-24951,0,0,0
1783106909646031,26630,25246,12106,4684,-24803,0,0,0
1783106909647123,26633,24665,13251,4684,-24558,0,0,0
1783106909648182,26637,24031,14368,6217,-24215,0,0,0
1783106909649262,26641,23347,15454,7725,-23777,0,0,0
1783106909650345,26644,22614,15454,9203,-23245,0,0,0
1783106909651424,26648,21833,16508,10644,-22621,0,0,0
1783106909652471,26651,21833,17528,12043,-21908,0,0,0
1783106909653590,26655,21007,18510,13395,-21109,0,0,0
1783106909654629,26658,20136,19454,14694,-21109,0,0,0
1783106909655739,26662,19223,20357,15935,-20226,0,0,0
1783106909656821,26665,18269,21217,15935,-19263,0,0,0
1783106909657882,26669,17277,22032,17113,-18225,0,0,0
1783106909658966,26672,16249,22032,18224,-17114,0,0,0
1783106909660047,26676,15187,22801,19262,-15936,0,0,0
1783106909661137,26679,15187,23522,20225,-14695,0,0,0
1783106909662219,26683,14092,24194,21108,-13396,0,0,0
1783106909663329,26687,12968,24814,21907,-12044,0,0,0
1783106909664411,26690,11817,25383,22620,-12044,0,0,0
