realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783142871912329,6104,26019,-10344,24950,1568,0,0,0
1783142871913376,6105,26466,-10344,24950,1568,0,0,0
1783142871914440,6108,26466,-9140,24802,3132,0,0,0
1783142871915534,6110,26857,-7917,24802,3132,0,0,0
1783142871916647,6114,27192,-6677,24557,4683,0,0,0
1783142871917713,6116,27192,-6677,24214,6216,0,0,0
1783142871918743,6118,27469,-5424,24214,6216,0,0,0
1783142871919808,6120,27469,-5424,23776,7724,0,0,0
1783142871920878,6122,27689,-4159,23776,7724,0,0,0
1783142871921944,6124,27689,-4159,23244,9202,0,0,0
1783142871923012,6126,27851,-2885,23244,9202,0,0,0
1783142871924077,6128,27851,-2885,22620,10643,0,0,0
1783142871925151,6130,27954,-1605,22620,10643,0,0,0
1783142871926216,6132,27954,-1605,21907,12042,0,0,0
1783142871927286,6133,27998,-1605,21907,12042,0,0,0
1783142871928350,6136,27998,-322,21108,13394,0,0,0
1783142871929375,6137,27983,-322,21108,13394,0,0,0
1783142871930443,6141,27909,961,20225,14693,0,0,0
1783142871931508,6144,27909,2243,19262,15934,0,0,0
1783142871932575,6145,27777,2243,19262,15934,0,0,0
1783142871933644,6148,27777,3521,18224,17112,0,0,0
1783142871934709,6149,27586,3521,18224,17112,0,0,0
1783142871935775,6152,27586,4790,17113,18223,0,0,0
1783142871936846,6153,27338,4790,17113,18223,0,0,0
1783142871937911,6156,27338,6050,15935,19261,0,0,0
1783142871938976,6157,27032,6050,15935,19261,0,0,0
1783142871940042,6160,27032,7297,14694,20224,0,0,0
1783142871941109,6161,26668,7297,14694,20224,0,0,0
1783142871942174,6164,26668,8529,13395,21107,0,0,0
1783142871943240,6165,26249,8529,13395,21107,0,0,0
1783142871944305,6168,26249,9742,12043,21906,0,0,0
1783142871945372,6169,25775,9742,12043,21906,0,0,0
1783142871946438,6173,25246,10936,10644,22619,0,0,0
1783142871947503,6176,25246,12106,9203,23243,0,0,0
1783142871948569,6177,24665,12106,9203,23243,0,0,0
1783142871949635,6180,24665,13251,7725,23775,0,0,0
1783142871950698,6181,24031,13251,7725,23775,0,0,0
1783142871951763,6184,24031,14368,6217,24213,0,0,0
1783142871952829,6185,23347,14368,6217,24213,0,0,0
1783142871953897,6188,23347,15454,4684,24556,0,0,0
1783142871954962,6189,22614,15454,4684,24556,0,0,0
1783142871956030,6192,22614,16508,3133,24801,0,0,0
1783142871957094,6193,21833,16508,3133,24801,0,0,0
1783142871958160,6196,21833,17528,1569,24949,0,0,0
1783142871959270,6197,21007,17528,1569,24949,0,0,0
1783142871960335,6200,21007,18510,0,24999,0,0,0
1783142871961375,6201,20136,18510,0,24999,0,0,0
1783142871962441,6205,19223,19454,-1569,24949,0,0,0
1783142871963505,6208,19223,20357,-3133,24801,0,0,0
1783142871964573,6209,18269,20357,-3133,24801,0,0,0
1783142871965637,6212,18269,21217,-4684,24556,0,0,0
1783142871966705,6213,17277,21217,-4684,24556,0,0,0
1783142871967771,6216,17277,22032,-6217,24213,0,0,0
1783142871968815,6217,16249,22032,-6217,24213,0,0,0
1783142871969881,6220,16249,22801,-7725,23775,0,0,0
1783142871971972,6224,15187,23522,-9203,23243,0,0,0
1783142871973071,6225,14092,23522,-9203,23243,0,0,0
1783142871974135,6228,14092,24194,-10644,22619,0,0,0
1783142871975233,6229,12968,24194,-10644,22619,0,0,0
1783142871976300,6232,12968,24814,-12043,21906,0,0,0
1783142871977406,6233,11817,24814,-12043,21906,0,0,0
1783142871978471,6237,10640,25383,-13395,21107,0,0,0
1783142871979539,6240,10640,25898,-14694,20224,0,0,0
1783142871980604,6241,9442,25898,-14694,20224,0,0,0
1783142871981669,6244,9442,26358,-15935,19261,0,0,0
1783142871982735,6245,8223,26358,-15935,19261,0,0,0
1783142871983801,6248,8223,26764,-17113,18223,0,0,0
1783142871984871,6249,6988,26764,-17113,18223,0,0,0
1783142871985936,6252,6988,27112,-18224,17112,0,0,0
1783142871986989,6253,5737,27112,-18224,17112,0,0,0
1783142871988056,6256,5737,27404,-19262,15934,0,0,0
1783142871989124,6257,4475,27404,-19262,15934,0,0,0
1783142871990188,6260,4475,27639,-20225,14693,0,0,0
1783142871991255,6261,3203,27639,-20225,14693,0,0,0
1783142871992320,6264,3203,27815,-21108,13394,0,0,0
1783142871993373,6265,1924,27815,-21108,13394,0,0,0
1783142871994437,6269,642,27932,-21907,12042,0,0,0
1783142871995486,6272,642,27991,-22620,10643,0,0,0
1783142871996569,6273,-642,27991,-22620,10643,0,0,0
1783142871997634,6275,-642,27991,-23244,9202,0,0,0
1783142871998701,6276,-1924,27991,-23244,9202,0,0,0
1783142871999765,6279,-1924,27932,-23776,7724,0,0,0
1783142872000836,6280,-3203,27932,-23776,7724,0,0,0
1783142872001901,6283,-3203,27815,-24214,6216,0,0,0
1783142872002970,6284,-4475,27815,-24214,6216,0,0,0
1783142872004036,6287,-4475,27639,-24557,4683,0,0,0
1783142872005105,6288,-5737,27639,-24557,4683,0,0,0
1783142872006169,6291,-5737,27404,-24802,3132,0,0,0
1783142872007236,6292,-6988,27404,-24802,3132,0,0,0
1783142872008303,6296,-8223,27112,-24950,1568,0,0,0
1783142872009370,6299,-8223,26764,-25000,-1,0,0,0
1783142872010438,6300,-9442,26764,-25000,-1,0,0,0
1783142872011505,6303,-9442,26358,-24950,-1570,0,0,0
1783142872012585,6304,-10640,26358,-24950,-1570,0,0,0
1783142872013651,6307,-10640,25898,-24802,-3134,0,0,0
1783142872014740,6308,-11817,25898,-24802,-3134,0,0,0
1783142872015806,6311,-11817,25383,-24557,-4685,0,0,0
1783142872016907,6312,-12968,25383,-24557,-4685,0,0,0
1783142872017973,6315,-12968,24814,-24214,-6218,0,0,0
1783142872019042,6316,-14092,24814,-24214,-6218,0,0,0
1783142872020107,6319,-14092,24194,-23776,-7726,0,0,0
1783142872021174,6320,-15187,24194,-23776,-7726,0,0,0
1783142872022238,6323,-15187,23522,-23244,-9204,0,0,0
1783142872023304,6324,-16249,23522,-23244,-9204,0,0,0
1783142872024371,6328,-17277,22801,-22620,-10645,0,0,0
1783142872025436,6331,-17277,22032,-21907,-12044,0,0,0
1783142872026514,6332,-18269,22032,-21907,-12044,0,0,0
1783142872027578,6335,-18269,21217,-21108,-13396,0,0,0
1783142872028643,6336,-19223,21217,-21108,-13396,0,0,0
1783142872029672,6339,-19223,20357,-20225,-14695,0,0,0
1783142872030739,6340,-20136,20357,-20225,-14695,0,0,0
1783142872031804,6343,-20136,19454,-19262,-15936,0,0,0
1783142872032891,6344,-21007,19454,-19262,-15936,0,0,0
1783142872033957,6347,-21007,18510,-18224,-17114,0,0,0
1783142872035061,6348,-21833,18510,-18224,-17114,0,0,0
1783142872036126,6351,-21833,17528,-17113,-18225,0,0,0
1783142872037217,6352,-22614,17528,-17113,-18225,0,0,0
1783142872038283,6355,-22614,16508,-15935,-19263,0,0,0
1783142872039349,6356,-23347,16508,-15935,-19263,0,0,0
1783142872040411,6360,-24031,15454,-14694,-20226,0,0,0
1783142872041477,6363,-24031,14368,-13395,-21109,0,0,0
1783142872042544,6364,-24665,14368,-13395,-21109,0,0,0
1783142872043610,6367,-24665,13251,-12043,-21908,0,0,0
1783142872044681,6368,-25246,13251,-12043,-21908,0,0,0
1783142872045747,6371,-25246,12106,-10644,-22621,0,0,0
1783142872046835,6372,-25775,12106,-10644,-22621,0,0,0
1783142872047902,6375,-25775,10936,-9203,-23245,0,0,0
1783142872049013,6376,-26249,10936,-9203,-23245,0,0,0
1783142872050078,6379,-26249,9742,-7725,-23777,0,0,0
1783142872051143,6380,-26668,9742,-7725,-23777,0,0,0
1783142872052210,6383,-26668,8529,-6217,-24215,0,0,0
1783142872053281,6384,-27032,8529,-6217,-24215,0,0,0
1783142872054347,6388,-27338,7297,-4684,-24558,0,0,0
1783142872055372,6391,-27338,6050,-3133,-24803,0,0,0
1783142872056466,6392,-27586,6050,-3133,-24803,0,0,0
1783142872057521,6395,-27586,4790,-1569,-24951,0,0,0
1783142872058609,6396,-27777,4790,-1569,-24951,0,0,0
1783142872059675,6399,-27777,3521,0,-25001,0,0,0
1783142872060756,6400,-27909,3521,0,-25001,0,0,0
1783142872061823,6403,-27909,2243,1569,-24951,0,0,0
1783142872062943,6404,-27983,2243,1569,-24951,0,0,0
1783142872064009,6407,-27983,961,3133,-24803,0,0,0
1783142872065078,6408,-27998,961,3133,-24803,0,0,0
1783142872066145,6411,-27998,-322,4684,-24558,0,0,0
1783142872067215,6412,-27954,-322,4684,-24558,0,0,0
1783142872068280,6415,-27954,-1605,6217,-24215,0,0,0
1783142872069348,6416,-27851,-1605,6217,-24215,0,0,0
1783142872070372,6420,-27689,-2885,7725,-23777,0,0,0
1783142872071442,6423,-27689,-4159,9203,-23245,0,0,0
1783142872072568,6424,-27469,-4159,9203,-23245,0,0,0
1783142872073635,6427,-27469,-5424,10644,-22621,0,0,0
1783142872074715,6428,-27192,-5424,10644,-22621,0,0,0
1783142872075780,6431,-27192,-6677,12043,-21908,0,0,0
1783142872076847,6432,-26857,-6677,12043,-21908,0,0,0
