event,realtime_us,trial
active,1783141268395829,1
neutral,1783141269895895,1
active,1783141272395979,2
neutral,1783141273896044,2
active,1783141276396126,3
neutral,1783141277896191,3
active,1783141280396274,4
neutral,1783141281896339,4
