realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106938380674,100,-27469,-5424,10644,-22621,0,0,0
1783106938381754,101,-27192,-6677,12043,-21908,0,0,0
1783106938382858,102,-26857,-7917,13395,-21109,0,0,0
1783106938383940,103,-26466,-9140,14694,-20226,0,0,0
1783106938385049,104,-26019,-10344,15935,-19263,0,0,0
1783106938386162,105,-25517,-11526,17113,-18225,0,0,0
1783106938387303,106,-24962,-12684,18224,-17114,0,0,0
1783106938388383,107,-24355,-13815,19262,-15936,0,0,0
1783106938389556,109,-22987,-15988,21108,-13396,0,0,0
1783106938390636,110,-22230,-17025,21907,-12044,0,0,0
1783106938391717,111,-21426,-18026,22620,-10645,0,0,0
1783106938392796,112,-20577,-18989,23244,-9204,0,0,0
1783106938393876,113,-19685,-19913,23776,-7726,0,0,0
1783106938394960,114,-18751,-20794,24214,-6218,0,0,0
1783106938396042,115,-17778,-21632,24557,-4685,0,0,0
1783106938397155,116,-16768,-22424,24802,-3134,0,0,0
1783106938398271,117,-15722,-23170,24950,-1570,0,0,0
1783106938399393,118,-13534,-24512,24950,1568,0,0,0
1783106938400513,119,-12396,-25107,24802,3132,0,0,0
1783106938401596,120,-11231,-25649,24557,4683,0,0,0
1783106938402675,121,-10044,-26137,24214,6216,0,0,0
1783106938403759,122,-8835,-26570,23776,7724,0,0,0
1783106938404860,123,-7608,-26947,23244,9202,0,0,0
1783106938405943,124,-6364,-27268,22620,10643,0,0,0
1783106938407078,125,-5107,-27531,21907,12042,0,0,0
1783106938408170,126,-3840,-27736,21108,13394,0,0,0
1783106938409275,127,-2564,-27883,20225,14693,0,0,0
1783106938410357,128,-1283,-27971,19262,15934,0,0,0
1783106938411443,129,1283,-27971,17113,18223,0,0,0
1783106938413635,130,2564,-27883,15935,19261,0,0,0
1783106938414809,132,5107,-27531,13395,21107,0,0,0
1783106938415889,133,6364,-27268,12043,21906,0,0,0
1783106938416981,134,7608,-26947,10644,22619,0,0,0
1783106938418064,135,8835,-26570,9203,23243,0,0,0
1783106938419182,136,10044,-26137,7725,23775,0,0,0
1783106938420291,137,11231,-25649,6217,24213,0,0,0
1783106938421394,138,13534,-24512,3133,24801,0,0,0
1783106938422475,139,14643,-23866,1569,24949,0,0,0
1783106938423557,140,15722,-23170,0,24999,0,0,0
1783106938424660,141,16768,-22424,-1569,24949,0,0,0
1783106938425758,142,17778,-21632,-3133,24801,0,0,0
1783106938426855,143,18751,-20794,-4684,24556,0,0,0
1783106938427970,144,19685,-19913,-6217,24213,0,0,0
1783106938429053,145,20577,-18989,-7725,23775,0,0,0
1783106938431138,146,21426,-18026,-9203,23243,0,0,0
1783106938432221,147,22230,-17025,-10644,22619,0,0,0
1783106938433307,148,23696,-14917,-13395,21107,0,0,0
1783106938434382,149,24355,-13815,-14694,20224,0,0,0
1783106938435467,150,24962,-12684,-15935,19261,0,0,0
1783106938436548,151,25517,-11526,-17113,18223,0,0,0
1783106938437628,152,26019,-10344,-18224,17112,0,0,0
1783106938438709,153,26466,-9140,-19262,15934,0,0,0
1783106938439793,154,26857,-7917,-20225,14693,0,0,0
1783106938440875,155,27192,-6677,-21108,13394,0,0,0
1783106938441958,156,27469,-5424,-21907,12042,0,0,0
1783106938443039,157,27689,-4159,-22620,10643,0,0,0
1783106938444128,158,27954,-1605,-23776,7724,0,0,0
1783106938445211,159,27998,-322,-24214,6216,0,0,0
1783106938446292,160,27983,961,-24557,4683,0,0,0
1783106938447375,161,27909,2243,-24802,3132,0,0,0
1783106938448459,162,27777,3521,-24950,1568,0,0,0
1783106938449542,163,27586,4790,-25000,-1,0,0,0
1783106938450624,164,27338,6050,-24950,-1570,0,0,0
1783106938451707,165,27032,7297,-24802,-3134,0,0,0
1783106938452790,166,26668,8529,-24557,-4685,0,0,0
1783106938453873,167,26249,9742,-24214,-6218,0,0,0
1783106938454958,169,25246,12106,-23244,-9204,0,0,0
1783106938456040,170,24665,13251,-22620,-10645,0,0,0
1783106938457129,171,24031,14368,-21907,-12044,0,0,0
1783106938458212,172,23347,15454,-21108,-13396,0,0,0
1783106938459294,173,22614,16508,-20225,-14695,0,0,0
1783106938460377,174,21833,17528,-19262,-15936,0,0,0
1783106938461464,175,21007,18510,-18224,-17114,0,0,0
1783106938462547,176,20136,19454,-17113,-18225,0,0,0
1783106938463629,177,19223,20357,-15935,-19263,0,0,0
1783106938464709,178,18269,21217,-14694,-20226,0,0,0
1783106938465791,180,16249,22801,-12043,-21908,0,0,0
1783106938466872,181,15187,23522,-10644,-22621,0,0,0
1783106938467957,182,14092,24194,-9203,-23245,0,0,0
1783106938469037,183,12968,24814,-7725,-23777,0,0,0
1783106938470122,184,11817,25383,-6217,-24215,0,0,0
1783106938471205,185,10640,25898,-4684,-24558,0,0,0
1783106938472289,186,9442,26358,-3133,-24803,0,0,0
1783106938473372,187,8223,26764,-1569,-24951,0,0,0
1783106938474458,188,6988,27112,0,-25001,0,0,0
1783106938475538,189,5737,27404,1569,-24951,0,0,0
1783106938476621,190,4475,27639,3133,-24803,0,0,0
1783106938477704,191,1924,27932,6217,-24215,0,0,0
1783106938478786,192,642,27991,7725,-23777,0,0,0
1783106938479868,193,-642,27991,9203,-23245,0,0,0
1783106938480950,194,-1924,27932,10644,-22621,0,0,0
1783106938482030,195,-3203,27815,12043,-21908,0,0,0
1783106938483119,196,-4475,27639,13395,-21109,0,0,0
1783106938484201,197,-5737,27404,14694,-20226,0,0,0
1783106938485283,198,-6988,27112,15935,-19263,0,0,0
1783106938486367,199,-8223,26764,17113,-18225,0,0,0
1783106938487451,200,-9442,26358,18224,-17114,0,0,0
1783106938488535,202,-11817,25383,20225,-14695,0,0,0
1783106938489616,203,-12968,24814,21108,-13396,0,0,0
1783106938490699,204,-14092,24194,21907,-12044,0,0,0
1783106938491783,205,-15187,23522,22620,-10645,0,0,0
1783106938492882,206,-16249,22801,23244,-9204,0,0,0
1783106938493982,207,-17277,22032,23776,-7726,0,0,0
1783106938495119,208,-18269,21217,24214,-6218,0,0,0
1783106938496201,209,-19223,20357,24557,-4685,0,0,0
1783106938497351,210,-20136,19454,24802,-3134,0,0,0
1783106938498432,211,-21007,18510,24950,-1570,0,0,0
1783106938499513,213,-22614,16508,24950,1568,0,0,0
1783106938500601,214,-23347,15454,24802,3132,0,0,0
1783106938501687,215,-24031,14368,24557,4683,0,0,0
1783106938502816,216,-24665,13251,24214,6216,0,0,0
1783106938503904,217,-25246,12106,23776,7724,0,0,0
1783106938504989,218,-25775,10936,23244,9202,0,0,0
1783106938506095,219,-26249,9742,22620,10643,0,0,0
1783106938507139,220,-26668,8529,21907,12042,0,0,0
1783106938508280,221,-27032,7297,21108,13394,0,0,0
1783106938509382,222,-27586,4790,19262,15934,0,0,0
1783106938510464,223,-27777,3521,18224,17112,0,0,0
1783106938511549,224,-27909,2243,17113,18223,0,0,0
1783106938512667,225,-27983,961,15935,19261,0,0,0
