event,realtime_us,trial
active,1783141503501295,1
neutral,1783141505001362,1
active,1783141507501459,2
neutral,1783141509001525,2
active,1783141511501610,3
neutral,1783141513001675,3
active,1783141515501765,4
neutral,1783141517001832,4
