realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783142778709946,0,0,0,0,0,0,0,0
1783142783238261,2,0,-28001,0,-25001,0,0,0
1783142783245713,6,1283,-27971,1569,-24951,0,0,0
1783142783254217,10,2564,-27883,3133,-24803,0,0,0
1783142783261644,14,3840,-27736,4684,-24558,0,0,0
1783142783270182,18,5107,-27531,6217,-24215,0,0,0
1783142783277636,22,6364,-27268,7725,-23777,0,0,0
1783142783286139,26,7608,-26947,9203,-23245,0,0,0
1783142783293572,30,8835,-26570,10644,-22621,0,0,0
1783142783302084,34,10044,-26137,12043,-21908,0,0,0
1783142783309522,37,11231,-25649,13395,-21908,0,0,0
1783142783310587,38,11231,-25649,13395,-21109,0,0,0
1783142783318085,42,12396,-25107,14694,-20226,0,0,0
1783142783325467,46,13534,-24512,15935,-19263,0,0,0
1783142783333965,49,14643,-23866,17113,-19263,0,0,0
1783142783335035,50,14643,-23866,17113,-18225,0,0,0
1783142783341430,54,15722,-23170,18224,-17114,0,0,0
1783142783349949,58,16768,-22424,19262,-15936,0,0,0
1783142783357401,62,17778,-21632,20225,-14695,0,0,0
1783142783365918,66,18751,-20794,21108,-13396,0,0,0
1783142783373378,70,19685,-19913,21907,-12044,0,0,0
1783142783381918,74,20577,-18989,22620,-10645,0,0,0
1783142783389373,78,21426,-18026,23244,-9204,0,0,0
1783142783397895,82,22230,-17025,23776,-7726,0,0,0
1783142783405353,86,22987,-15988,24214,-6218,0,0,0
1783142783413838,90,23696,-14917,24557,-4685,0,0,0
1783142783421303,94,24355,-13815,24802,-3134,0,0,0
1783142783429856,98,24962,-12684,24950,-1570,0,0,0
1783142783437329,102,25517,-11526,25000,-1,0,0,0
1783142783445837,106,26019,-10344,24950,1568,0,0,0
1783142783453308,110,26466,-9140,24802,3132,0,0,0
1783142783461840,114,26857,-7917,24557,4683,0,0,0
1783142783469319,118,27192,-6677,24214,6216,0,0,0
1783142783477829,122,27469,-5424,23776,7724,0,0,0
1783142783485322,126,27689,-4159,23244,9202,0,0,0
1783142783493829,130,27851,-2885,22620,10643,0,0,0
1783142783501317,134,27954,-1605,21907,12042,0,0,0
1783142783509890,138,27998,-322,21108,13394,0,0,0
1783142783517354,142,27983,961,20225,14693,0,0,0
1783142783525858,146,27909,2243,19262,15934,0,0,0
1783142783533324,150,27777,3521,18224,17112,0,0,0
1783142783541841,154,27586,4790,17113,18223,0,0,0
1783142783549312,158,27338,6050,15935,19261,0,0,0
1783142783557842,162,27032,7297,14694,20224,0,0,0
1783142783565319,166,26668,8529,13395,21107,0,0,0
1783142783573854,170,26249,9742,12043,21906,0,0,0
1783142783581324,174,25775,10936,10644,22619,0,0,0
1783142783589840,178,25246,12106,9203,23243,0,0,0
1783142783597308,182,24665,13251,7725,23775,0,0,0
1783142783605854,186,24031,14368,6217,24213,0,0,0
1783142783613329,190,23347,15454,4684,24556,0,0,0
1783142783621820,194,22614,16508,3133,24801,0,0,0
1783142783629287,198,21833,17528,1569,24949,0,0,0
1783142783637779,202,21007,18510,0,24999,0,0,0
1783142783645245,206,20136,19454,-1569,24949,0,0,0
1783142783653780,210,19223,20357,-3133,24801,0,0,0
1783142783662311,214,18269,21217,-4684,24556,0,0,0
1783142783669773,218,17277,22032,-6217,24213,0,0,0
1783142783677240,222,16249,22801,-7725,23775,0,0,0
1783142783685789,226,15187,23522,-9203,23243,0,0,0
1783142783693266,230,14092,24194,-10644,22619,0,0,0
1783142783701792,234,12968,24814,-12043,21906,0,0,0
1783142783710330,238,11817,25383,-13395,21107,0,0,0
1783142783717789,242,10640,25898,-14694,20224,0,0,0
1783142783726299,245,9442,26358,-15935,20224,0,0,0
1783142783727370,246,9442,26358,-15935,19261,0,0,0
1783142783733766,250,8223,26764,-17113,18223,0,0,0
1783142783741222,254,6988,27112,-18224,17112,0,0,0
1783142783749761,258,5737,27404,-19262,15934,0,0,0
1783142783757235,262,4475,27639,-20225,14693,0,0,0
1783142783765775,266,3203,27815,-21108,13394,0,0,0
