event,realtime_us,trial
active,1783141186715969,1
neutral,1783141188216034,1
active,1783141190716136,2
neutral,1783141192216201,2
active,1783141194716285,3
neutral,1783141196216349,3
active,1783141198716436,4
neutral,1783141200216503,4
