realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142894290165,0,1,0,0,0,0,0,0,0,0
1783142894290178,1,1,0,0,0,0,0,0,0,0
1783142894987821,0,1,1,0,-1,0,-1,0,0,4096
1783142895067189,0,1,2,0,-1,0,-1,0,0,0
1783142895067201,1,1,1,0,-1,0,-1,0,0,8192
1783142895147712,0,1,4,0,-28001,0,-1,0,0,0
1783142895147759,1,1,3,0,-1,0,-1,0,0,0
1783142895148831,0,1,6,0,-28001,0,-25001,0,0,0
1783142895148841,1,1,5,22000,-1,0,-1,0,0,0
1783142895149914,1,1,6,22000,-1,20000,-1,0,0,0
1783142895156329,0,1,8,1283,-28001,0,-25001,0,0,0
1783142895156341,1,1,8,21981,-1,20000,-1,0,0,0
1783142895157379,0,1,10,1283,-27971,0,-25001,0,0,0
1783142895157394,1,1,10,21981,-908,19974,-1,0,0,0
1783142895158462,0,1,12,1283,-27971,1489,-24956,0,0,0
1783142895158470,1,1,12,21981,-908,19974,-1009,0,0,0
1783142895163833,0,1,14,2564,-27883,1489,-24956,0,0,0
1783142895163845,1,1,14,21925,-1815,19974,-1009,0,0,0
1783142895164866,0,1,16,2564,-27883,2974,-24823,0,0,0
1783142895164942,1,1,16,21925,-1815,19898,-2015,0,0,0
1783142895172457,0,1,18,3840,-27736,2974,-24823,0,0,0
1783142895172466,1,1,18,21831,-2718,19898,-2015,0,0,0
1783142895173531,0,1,20,3840,-27736,4447,-24602,0,0,0
1783142895173541,1,1,20,21831,-2718,19771,-3016,0,0,0
1783142895179963,0,1,22,5107,-27531,4447,-24602,0,0,0
1783142895179975,1,1,22,21700,-3616,19771,-3016,0,0,0
1783142895181070,0,1,24,5107,-27531,5905,-24293,0,0,0
1783142895181079,1,1,24,21700,-3616,19594,-4009,0,0,0
1783142895188576,0,1,26,6364,-27268,5905,-24293,0,0,0
1783142895188587,1,1,26,21533,-4509,19594,-4009,0,0,0
1783142895189653,0,1,28,6364,-27268,7342,-23898,0,0,0
1783142895189662,1,1,28,21533,-4509,19367,-4992,0,0,0
1783142895196095,0,1,30,7608,-26947,7342,-23898,0,0,0
1783142895196107,1,1,30,21328,-5393,19367,-4992,0,0,0
1783142895197182,0,1,32,7608,-26947,8753,-23418,0,0,0
1783142895197198,1,1,31,21328,-5393,19090,-4992,0,0,0
1783142895198231,1,1,32,21328,-5393,19090,-5962,0,0,0
1783142895204673,0,1,34,8835,-26570,8753,-23418,0,0,0
1783142895204683,1,1,34,21088,-6269,19090,-5962,0,0,0
1783142895205750,0,1,36,8835,-26570,10133,-22855,0,0,0
1783142895205758,1,1,36,21088,-6269,18765,-6917,0,0,0
1783142895212197,0,1,37,10044,-26570,10133,-22855,0,0,0
1783142895212211,1,1,38,20811,-7134,18765,-6917,0,0,0
1783142895213331,0,1,40,10044,-26137,11477,-22210,0,0,0
1783142895213342,1,1,40,20811,-7134,18393,-7855,0,0,0
1783142895220851,0,1,42,11231,-25649,11477,-22210,0,0,0
1783142895220864,1,1,41,20499,-7134,18393,-7855,0,0,0
1783142895221932,0,1,44,11231,-25649,12780,-21487,0,0,0
1783142895221941,1,1,43,20499,-7987,17973,-7855,0,0,0
1783142895223013,1,1,44,20499,-7987,17973,-8773,0,0,0
1783142895228376,0,1,46,12396,-25107,12780,-21487,0,0,0
1783142895228386,1,1,46,20152,-8826,17973,-8773,0,0,0
1783142895229453,0,1,48,12396,-25107,14037,-20687,0,0,0
1783142895229462,1,1,48,20152,-8826,17508,-9668,0,0,0
1783142895236993,0,1,50,13534,-24512,14037,-20687,0,0,0
1783142895237034,1,1,50,19771,-9650,17508,-9668,0,0,0
1783142895238100,0,1,52,13534,-24512,15245,-19814,0,0,0
1783142895238109,1,1,52,19771,-9650,16998,-10538,0,0,0
1783142895244521,0,1,54,14643,-23866,15245,-19814,0,0,0
1783142895244545,1,1,54,19355,-10457,16998,-10538,0,0,0
1783142895245613,0,1,56,14643,-23866,16399,-18870,0,0,0
1783142895245627,1,1,55,19355,-10457,16445,-10538,0,0,0
1783142895246701,1,1,56,19355,-10457,16445,-11382,0,0,0
1783142895253141,0,1,58,15722,-23170,16399,-18870,0,0,0
1783142895253151,1,1,58,18908,-11247,16445,-11382,0,0,0
1783142895254217,0,1,60,15722,-23170,17494,-17860,0,0,0
1783142895254226,1,1,60,18908,-11247,15850,-12197,0,0,0
1783142895260618,0,1,61,16768,-23170,17494,-17860,0,0,0
1783142895260636,1,1,62,18427,-12018,15850,-12197,0,0,0
1783142895261708,0,1,64,16768,-22424,18527,-16785,0,0,0
1783142895261723,1,1,64,18427,-12018,15215,-12981,0,0,0
1783142895269238,0,1,66,17778,-21632,18527,-16785,0,0,0
1783142895269252,1,1,66,17916,-12768,15215,-12981,0,0,0
1783142895270319,0,1,68,17778,-21632,19494,-15652,0,0,0
1783142895270327,1,1,68,17916,-12768,14541,-13732,0,0,0
1783142895276734,0,1,69,18751,-21632,19494,-15652,0,0,0
1783142895276751,1,1,69,17374,-12768,14541,-13732,0,0,0
1783142895277913,0,1,72,18751,-20794,20392,-14462,0,0,0
1783142895277970,1,1,72,17374,-13496,13830,-14447,0,0,0
1783142895285451,0,1,74,19685,-19913,20392,-14462,0,0,0
1783142895285461,1,1,74,16802,-14202,13830,-14447,0,0,0
1783142895286563,0,1,76,19685,-19913,21218,-13221,0,0,0
1783142895286573,1,1,76,16802,-14202,13084,-15126,0,0,0
1783142895293014,0,1,78,20577,-18989,21218,-13221,0,0,0
1783142895293026,1,1,78,16202,-14883,13084,-15126,0,0,0
1783142895294097,0,1,80,20577,-18989,21968,-11934,0,0,0
1783142895294109,1,1,80,16202,-14883,12305,-15767,0,0,0
1783142895301605,0,1,82,21426,-18026,21968,-11934,0,0,0
1783142895301616,1,1,82,15574,-15539,12305,-15767,0,0,0
1783142895302683,0,1,84,21426,-18026,22640,-10603,0,0,0
1783142895302691,1,1,84,15574,-15539,11494,-16367,0,0,0
1783142895309121,0,1,86,22230,-17025,22640,-10603,0,0,0
1783142895309130,1,1,86,14919,-16168,11494,-16367,0,0,0
1783142895310197,0,1,88,22230,-17025,23231,-9236,0,0,0
1783142895310206,1,1,88,14919,-16168,10654,-16926,0,0,0
1783142895317652,0,1,90,22987,-15988,23231,-9236,0,0,0
1783142895317663,1,1,90,14239,-16770,10654,-16926,0,0,0
1783142895318729,0,1,92,22987,-15988,23740,-7835,0,0,0
1783142895318737,1,1,92,14239,-16770,9787,-17442,0,0,0
1783142895325169,0,1,94,23696,-14917,23740,-7835,0,0,0
1783142895325180,1,1,94,13535,-17344,9787,-17442,0,0,0
1783142895326251,0,1,96,23696,-14917,24165,-6406,0,0,0
1783142895326265,1,1,96,13535,-17344,8895,-17913,0,0,0
