event,realtime_us,trial
active,1783141213856904,1
neutral,1783141215356970,1
active,1783141217857067,2
neutral,1783141219357129,2
active,1783141221857215,3
neutral,1783141223357282,3
active,1783141225857367,4
neutral,1783141227357431,4
