realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783142817064994,0,0,0,0,0,0,0,0
1783142820434915,2,0,-28001,0,-1,0,0,0
1783142820435986,4,0,-28001,0,-25001,0,0,0
1783142820439166,6,1283,-28001,0,-25001,0,0,0
1783142820440232,10,1283,-27971,1569,-24951,0,0,0
1783142820443441,12,2564,-27883,1569,-24951,0,0,0
1783142820444510,14,2564,-27883,3133,-24803,0,0,0
1783142820447712,16,3840,-27736,3133,-24803,0,0,0
1783142820448777,18,3840,-27736,4684,-24558,0,0,0
1783142820450906,20,5107,-27531,4684,-24558,0,0,0
1783142820451974,22,5107,-27531,6217,-24215,0,0,0
1783142820455179,24,6364,-27268,6217,-24215,0,0,0
1783142820456246,26,6364,-27268,7725,-23777,0,0,0
1783142820459441,28,7608,-26947,7725,-23777,0,0,0
1783142820460506,30,7608,-26947,9203,-23245,0,0,0
1783142820462697,32,8835,-26570,9203,-23245,0,0,0
1783142820463763,34,8835,-26570,10644,-22621,0,0,0
1783142820466965,36,10044,-26137,10644,-22621,0,0,0
1783142820468032,38,10044,-26137,12043,-21908,0,0,0
1783142820471235,40,11231,-25649,12043,-21908,0,0,0
1783142820472302,42,11231,-25649,13395,-21109,0,0,0
1783142820475487,44,12396,-25107,13395,-21109,0,0,0
1783142820476554,46,12396,-25107,14694,-20226,0,0,0
1783142820478696,48,13534,-24512,14694,-20226,0,0,0
1783142820479762,50,13534,-24512,15935,-19263,0,0,0
1783142820482957,52,14643,-23866,15935,-19263,0,0,0
1783142820484023,54,14643,-23866,17113,-18225,0,0,0
1783142820487278,56,15722,-23170,17113,-18225,0,0,0
1783142820488346,58,15722,-23170,18224,-17114,0,0,0
1783142820491508,60,16768,-22424,18224,-17114,0,0,0
1783142820492577,62,16768,-22424,19262,-15936,0,0,0
1783142820494720,63,17778,-22424,19262,-15936,0,0,0
1783142820495794,66,17778,-21632,20225,-14695,0,0,0
1783142820498997,68,18751,-20794,20225,-14695,0,0,0
1783142820500063,70,18751,-20794,21108,-13396,0,0,0
1783142820503273,71,19685,-20794,21108,-13396,0,0,0
1783142820504342,74,19685,-19913,21907,-12044,0,0,0
1783142820507504,75,20577,-19913,21907,-12044,0,0,0
1783142820508571,78,20577,-18989,22620,-10645,0,0,0
1783142820510708,79,21426,-18989,22620,-10645,0,0,0
1783142820511778,82,21426,-18026,23244,-9204,0,0,0
1783142820514987,83,22230,-18026,23244,-9204,0,0,0
1783142820516053,86,22230,-17025,23776,-7726,0,0,0
1783142820519250,87,22987,-17025,23776,-7726,0,0,0
1783142820520324,90,22987,-15988,24214,-6218,0,0,0
1783142820523504,91,23696,-15988,24214,-6218,0,0,0
1783142820524569,94,23696,-14917,24557,-4685,0,0,0
1783142820526673,95,24355,-14917,24557,-4685,0,0,0
1783142820527741,98,24355,-13815,24802,-3134,0,0,0
1783142820530966,99,24962,-13815,24802,-3134,0,0,0
1783142820532032,102,24962,-12684,24950,-1570,0,0,0
1783142820535239,103,25517,-12684,24950,-1570,0,0,0
1783142820536305,106,25517,-11526,25000,-1,0,0,0
1783142820538441,107,26019,-11526,25000,-1,0,0,0
1783142820539509,110,26019,-10344,24950,1568,0,0,0
1783142820542709,111,26466,-10344,24950,1568,0,0,0
1783142820543775,114,26466,-9140,24802,3132,0,0,0
1783142820547005,115,26857,-9140,24802,3132,0,0,0
1783142820548072,118,26857,-7917,24557,4683,0,0,0
1783142820552270,122,27192,-6677,24214,6216,0,0,0
1783142820555450,126,27469,-5424,23776,7724,0,0,0
1783142820559716,130,27689,-4159,23244,9202,0,0,0
1783142820563989,134,27851,-2885,22620,10643,0,0,0
1783142820568250,138,27954,-1605,21907,12042,0,0,0
1783142820571443,142,27998,-322,21108,13394,0,0,0
1783142820575726,146,27983,961,20225,14693,0,0,0
1783142820579994,150,27909,2243,19262,15934,0,0,0
1783142820584239,154,27777,3521,18224,17112,0,0,0
1783142820587447,158,27586,4790,17113,18223,0,0,0
1783142820591708,162,27338,6050,15935,19261,0,0,0
1783142820595975,165,27032,7297,14694,19261,0,0,0
1783142820597040,166,27032,7297,14694,20224,0,0,0
1783142820599174,170,26668,8529,13395,21107,0,0,0
1783142820603444,173,26249,9742,12043,21107,0,0,0
1783142820604526,174,26249,9742,12043,21906,0,0,0
1783142820607722,177,25775,10936,10644,21906,0,0,0
1783142820608788,178,25775,10936,10644,22619,0,0,0
1783142820611997,181,25246,12106,9203,22619,0,0,0
1783142820613056,182,25246,12106,9203,23243,0,0,0
1783142820615228,185,24665,13251,7725,23243,0,0,0
1783142820616294,186,24665,13251,7725,23775,0,0,0
1783142820619498,190,24031,14368,6217,24213,0,0,0
1783142820623766,194,23347,15454,4684,24556,0,0,0
1783142820628076,198,22614,16508,3133,24801,0,0,0
1783142820631306,202,21833,17528,1569,24949,0,0,0
1783142820635570,205,21007,18510,0,24949,0,0,0
1783142820636637,206,21007,18510,0,24999,0,0,0
1783142820639860,210,20136,19454,-1569,24949,0,0,0
1783142820644140,214,19223,20357,-3133,24801,0,0,0
1783142820647346,218,18269,21217,-4684,24556,0,0,0
1783142820651572,221,17277,22032,-6217,24556,0,0,0
1783142820652642,222,17277,22032,-6217,24213,0,0,0
1783142820655854,225,16249,22801,-7725,24213,0,0,0
1783142820656921,226,16249,22801,-7725,23775,0,0,0
1783142820659060,229,15187,23522,-9203,23775,0,0,0
1783142820660129,230,15187,23522,-9203,23243,0,0,0
1783142820663336,233,14092,24194,-10644,23243,0,0,0
1783142820664374,234,14092,24194,-10644,22619,0,0,0
1783142820667575,237,12968,24814,-12043,22619,0,0,0
1783142820668643,238,12968,24814,-12043,21906,0,0,0
1783142820671813,241,11817,25383,-13395,21906,0,0,0
1783142820672881,242,11817,25383,-13395,21107,0,0,0
1783142820675015,245,10640,25898,-14694,21107,0,0,0
1783142820676080,246,10640,25898,-14694,20224,0,0,0
1783142820679328,249,9442,26358,-15935,20224,0,0,0
1783142820680376,250,9442,26358,-15935,19261,0,0,0
1783142820683573,253,8223,26764,-17113,19261,0,0,0
