event,realtime_us,trial
active,1783141475825231,1
neutral,1783141477325298,1
active,1783141479825368,2
neutral,1783141481325435,2
active,1783141483825520,3
neutral,1783141485325590,3
active,1783141487825679,4
neutral,1783141489325751,4
