realtime_us,slot,action,result
1783142933753427,0,start,1167
1783142936637237,1,start,0
1783142936637241,2,start,1167
1783142936637242,3,start,1167
1783142936638330,0,stop,1167
1783142936647791,1,stop,0
1783142936647792,2,stop,1167
1783142936647793,3,stop,1167
