realtime_us,slot,action,result
1783142964830505,0,start,0
1783142964831593,1,start,0
1783142964831593,2,start,1167
1783142964831594,3,start,1167
1783142965328947,0,stop,1167
1783142968274730,1,stop,0
1783142968274735,2,stop,1167
1783142968274736,3,stop,1167
