realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141244139894,0,0,0,0,0,0,0,0
1783141245198685,1,0,-28001,0,-25001,0,0,0
1783141245199769,2,6364,-27268,7725,-23777,0,0,0
1783141245200849,3,11231,-25649,13395,-21109,0,0,0
1783141245201933,4,16768,-22424,19262,-15936,0,0,0
1783141245203013,5,20577,-18989,22620,-10645,0,0,0
1783141245204096,6,24355,-13815,24802,-3134,0,0,0
1783141245205182,7,26466,-9140,24802,3132,0,0,0
1783141245206263,8,27851,-2885,22620,10643,0,0,0
1783141245207347,9,27909,2243,19262,15934,0,0,0
1783141245208382,10,26668,8529,13395,21107,0,0,0
1783141245209464,11,24665,13251,7725,23775,0,0,0
1783141245210562,12,21007,18510,0,24999,0,0,0
1783141245211696,13,17277,22032,-6217,24213,0,0,0
1783141245212838,15,11817,25383,-13395,21107,0,0,0
1783141245213937,16,6988,27112,-18224,17112,0,0,0
1783141245215066,17,642,27991,-22620,10643,0,0,0
1783141245216150,18,-4475,27639,-24557,4683,0,0,0
1783141245218325,19,-10640,25898,-24802,-3134,0,0,0
1783141245219387,20,-16249,22801,-22620,-10645,0,0,0
1783141245220469,21,-20136,19454,-19262,-15936,0,0,0
1783141245221550,22,-24031,14368,-13395,-21109,0,0,0
1783141245222639,23,-26249,9742,-7725,-23777,0,0,0
1783141245223725,24,-27777,3521,0,-25001,0,0,0
1783141245224812,25,-27954,-1605,6217,-24215,0,0,0
1783141245225893,26,-26857,-7917,13395,-21109,0,0,0
1783141245226974,27,-24962,-12684,18224,-17114,0,0,0
1783141245228058,28,-21426,-18026,22620,-10645,0,0,0
1783141245229146,29,-17778,-21632,24557,-4685,0,0,0
1783141245230228,30,-12396,-25107,24802,3132,0,0,0
1783141245231312,31,-7608,-26947,23244,9202,0,0,0
1783141245232386,32,-1283,-27971,19262,15934,0,0,0
1783141245233470,33,3840,-27736,14694,20224,0,0,0
1783141245234551,35,10044,-26137,7725,23775,0,0,0
1783141245235636,36,14643,-23866,1569,24949,0,0,0
1783141245236748,38,19685,-19913,-6217,24213,0,0,0
1783141245237830,39,22987,-15988,-12043,21906,0,0,0
1783141245238914,40,26019,-10344,-18224,17112,0,0,0
1783141245239998,41,27469,-5424,-21907,12042,0,0,0
1783141245241069,42,27998,-322,-24214,6216,0,0,0
1783141245242207,44,27338,6050,-24950,-1570,0,0,0
1783141245243287,45,25246,12106,-23244,-9204,0,0,0
1783141245244385,46,22614,16508,-20225,-14695,0,0,0
1783141245245526,47,18269,21217,-14694,-20226,0,0,0
1783141245246641,48,14092,24194,-9203,-23245,0,0,0
1783141245247707,49,8223,26764,-1569,-24951,0,0,0
1783141245249871,50,3203,27815,4684,-24558,0,0,0
1783141245250953,51,-3203,27815,12043,-21908,0,0,0
1783141245252034,52,-8223,26764,17113,-18225,0,0,0
1783141245253115,53,-14092,24194,21907,-12044,0,0,0
1783141245254198,54,-18269,21217,24214,-6218,0,0,0
1783141245255279,55,-22614,16508,24950,1568,0,0,0
1783141245256365,56,-25246,12106,23776,7724,0,0,0
1783141245257447,57,-27338,6050,20225,14693,0,0,0
1783141245258532,58,-27983,961,15935,19261,0,0,0
