realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141451579691,0,0,0,0,0,0,0,0
1783141452627289,1,0,-28001,0,-25001,0,0,0
1783141452634860,2,1283,-27971,1569,-24951,0,0,0
1783141452643468,3,2564,-27883,3133,-24803,0,0,0
1783141452651046,4,3840,-27736,4684,-24558,0,0,0
1783141452658632,5,5107,-27531,6217,-24215,0,0,0
1783141452667292,6,6364,-27268,7725,-23777,0,0,0
1783141452674882,7,7608,-26947,9203,-23245,0,0,0
1783141452683546,8,8835,-26570,10644,-22621,0,0,0
1783141452691130,9,10044,-26137,12043,-21908,0,0,0
1783141452699792,10,11231,-25649,13395,-21109,0,0,0
1783141452707363,11,12396,-25107,14694,-20226,0,0,0
1783141452714935,12,13534,-24512,15935,-19263,0,0,0
1783141452723541,13,14643,-23866,17113,-18225,0,0,0
1783141452731135,14,15722,-23170,18224,-17114,0,0,0
1783141452739789,15,16768,-22424,19262,-15936,0,0,0
1783141452747379,16,17778,-21632,20225,-14695,0,0,0
1783141452756045,17,18751,-20794,21108,-13396,0,0,0
1783141452762665,18,19685,-19913,21907,-12044,0,0,0
1783141452770235,19,20577,-18989,22620,-10645,0,0,0
1783141452778883,20,21426,-18026,23244,-9204,0,0,0
1783141452786468,21,22230,-17025,23776,-7726,0,0,0
1783141452795110,22,22987,-15988,24214,-6218,0,0,0
1783141452802696,23,23696,-14917,24557,-4685,0,0,0
1783141452811349,24,24355,-13815,24802,-3134,0,0,0
1783141452818881,25,24962,-12684,24950,-1570,0,0,0
1783141452826456,26,25517,-11526,25000,-1,0,0,0
1783141452835114,27,26019,-10344,24950,1568,0,0,0
1783141452842690,28,26466,-9140,24802,3132,0,0,0
1783141452851343,29,26857,-7917,24557,4683,0,0,0
1783141452858876,30,27192,-6677,24214,6216,0,0,0
1783141452867542,31,27469,-5424,23776,7724,0,0,0
1783141452875116,32,27689,-4159,23244,9202,0,0,0
1783141452882627,33,27851,-2885,22620,10643,0,0,0
1783141452891288,34,27954,-1605,21907,12042,0,0,0
1783141452898874,35,27998,-322,21108,13394,0,0,0
1783141452907539,36,27983,961,20225,14693,0,0,0
1783141452915119,37,27909,2243,19262,15934,0,0,0
1783141452923803,38,27777,3521,18224,17112,0,0,0
1783141452931378,39,27586,4790,17113,18223,0,0,0
1783141452938952,40,27338,6050,15935,19261,0,0,0
1783141452947624,41,27032,7297,14694,20224,0,0,0
1783141452955205,42,26668,8529,13395,21107,0,0,0
1783141452963834,43,26249,9742,12043,21906,0,0,0
1783141452971383,44,25775,10936,10644,22619,0,0,0
1783141452980045,45,25246,12106,9203,23243,0,0,0
1783141452987633,46,24665,13251,7725,23775,0,0,0
1783141452994255,47,24031,14368,6217,24213,0,0,0
1783141453002875,48,23347,15454,4684,24556,0,0,0
1783141453010461,49,22614,16508,3133,24801,0,0,0
1783141453019129,50,21833,17528,1569,24949,0,0,0
1783141453026710,51,21007,18510,0,24999,0,0,0
