realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142956907112,0,1,0,0,0,0,0,0,0,0
1783142956907123,1,1,0,0,0,0,0,0,0,0
1783142957759692,0,1,1,0,-1,0,-1,0,0,4096
1783142957840104,0,1,2,0,-1,0,-1,0,0,0
1783142957840115,1,1,1,0,-1,0,-1,0,0,8192
1783142957919422,0,1,3,0,-1,0,-1,0,0,0
1783142957919520,1,1,2,0,-1,0,-1,0,0,0
1783142957920592,0,1,5,0,-28001,0,-1,0,0,0
1783142957920601,1,1,4,22000,-1,0,-1,0,0,0
1783142957921669,0,1,8,1283,-28001,0,-25001,0,0,0
1783142957921679,1,1,7,21981,-1,20000,-1,0,0,0
1783142957922745,0,1,11,1283,-27971,1489,-25001,0,0,0
1783142957922753,1,1,9,21981,-908,20000,-1,0,0,0
1783142957923819,0,1,13,2564,-27971,1489,-24956,0,0,0
1783142957923877,1,1,12,21981,-908,19974,-1009,0,0,0
1783142957924953,0,1,16,2564,-27883,2974,-24823,0,0,0
1783142957924989,1,1,15,21925,-1815,19898,-1009,0,0,0
1783142957926057,0,1,19,3840,-27736,4447,-24823,0,0,0
1783142957926066,1,1,17,21831,-1815,19898,-2015,0,0,0
1783142957927132,0,1,21,5107,-27736,4447,-24602,0,0,0
1783142957927142,1,1,20,21831,-2718,19771,-3016,0,0,0
1783142957928208,0,1,24,5107,-27531,5905,-24293,0,0,0
1783142957928248,1,1,22,21700,-3616,19771,-3016,0,0,0
1783142957929320,0,1,26,6364,-27268,5905,-24293,0,0,0
1783142957929330,1,1,25,21533,-3616,19594,-4009,0,0,0
1783142957930374,0,1,28,6364,-27268,7342,-23898,0,0,0
1783142957930386,1,1,27,21533,-4509,19367,-4009,0,0,0
1783142957931457,0,1,29,7608,-27268,7342,-23898,0,0,0
1783142957931466,1,1,30,21328,-5393,19367,-4992,0,0,0
1783142957932566,0,1,32,7608,-26947,8753,-23418,0,0,0
1783142957932575,1,1,32,21328,-5393,19090,-5962,0,0,0
1783142957933645,0,1,33,8835,-26947,8753,-23418,0,0,0
1783142957933656,1,1,33,21088,-5393,19090,-5962,0,0,0
1783142957934723,0,1,36,8835,-26570,10133,-22855,0,0,0
1783142957934734,1,1,36,21088,-6269,18765,-6917,0,0,0
1783142957935802,0,1,37,10044,-26570,10133,-22855,0,0,0
1783142957935845,1,1,38,20811,-7134,18765,-6917,0,0,0
1783142957936960,0,1,40,10044,-26137,11477,-22210,0,0,0
1783142957936972,1,1,40,20811,-7134,18393,-7855,0,0,0
1783142957938128,0,1,42,11231,-25649,11477,-22210,0,0,0
1783142957938170,1,1,42,20499,-7987,18393,-7855,0,0,0
1783142957939239,0,1,44,11231,-25649,12780,-21487,0,0,0
1783142957939248,1,1,44,20499,-7987,17973,-8773,0,0,0
1783142957940315,0,1,47,12396,-25107,14037,-21487,0,0,0
1783142957940325,1,1,47,20152,-8826,17508,-8773,0,0,0
1783142957941376,0,1,49,13534,-25107,14037,-20687,0,0,0
1783142957941458,1,1,50,19771,-9650,17508,-9668,0,0,0
1783142957942479,0,1,52,13534,-24512,15245,-19814,0,0,0
1783142957942489,1,1,52,19771,-9650,16998,-10538,0,0,0
1783142957943518,0,1,53,14643,-24512,15245,-19814,0,0,0
1783142957943529,1,1,53,19355,-9650,16998,-10538,0,0,0
1783142957944596,0,1,56,14643,-23866,16399,-18870,0,0,0
1783142957944605,1,1,56,19355,-10457,16445,-11382,0,0,0
1783142957945671,0,1,57,15722,-23866,16399,-18870,0,0,0
1783142957945680,1,1,57,18908,-10457,16445,-11382,0,0,0
1783142957946750,0,1,59,15722,-23170,17494,-18870,0,0,0
1783142957946761,1,1,60,18908,-11247,15850,-12197,0,0,0
1783142957947826,0,1,61,16768,-23170,17494,-17860,0,0,0
1783142957947834,1,1,61,18427,-11247,15850,-12197,0,0,0
1783142957948929,0,1,64,16768,-22424,18527,-16785,0,0,0
1783142957948975,1,1,64,18427,-12018,15215,-12981,0,0,0
1783142957950042,0,1,65,17778,-22424,18527,-16785,0,0,0
1783142957950051,1,1,65,17916,-12018,15215,-12981,0,0,0
1783142957951133,0,1,68,17778,-21632,19494,-15652,0,0,0
1783142957951144,1,1,68,17916,-12768,14541,-13732,0,0,0
1783142957952209,0,1,69,18751,-21632,19494,-15652,0,0,0
1783142957952218,1,1,69,17374,-12768,14541,-13732,0,0,0
1783142957953236,0,1,70,18751,-20794,19494,-15652,0,0,0
1783142957953245,1,1,72,17374,-13496,13830,-14447,0,0,0
1783142957954313,0,1,73,19685,-20794,20392,-14462,0,0,0
1783142957954323,1,1,75,16802,-14202,13084,-14447,0,0,0
1783142957955402,0,1,77,20577,-19913,21218,-13221,0,0,0
1783142957955412,1,1,77,16202,-14202,13084,-15126,0,0,0
1783142957956477,0,1,79,20577,-18989,21968,-13221,0,0,0
1783142957956486,1,1,80,16202,-14883,12305,-15767,0,0,0
1783142957957554,0,1,80,20577,-18989,21968,-11934,0,0,0
1783142957958582,0,1,83,21426,-18026,22640,-11934,0,0,0
1783142957958633,1,1,83,15574,-15539,11494,-15767,0,0,0
1783142957959702,0,1,84,21426,-18026,22640,-10603,0,0,0
1783142957959755,1,1,85,14919,-15539,11494,-16367,0,0,0
1783142957960823,0,1,87,22230,-17025,23231,-10603,0,0,0
1783142957960832,1,1,87,14919,-16168,10654,-16367,0,0,0
1783142957961905,0,1,88,22230,-17025,23231,-9236,0,0,0
1783142957961914,1,1,88,14919,-16168,10654,-16926,0,0,0
1783142957962961,0,1,91,22987,-15988,23740,-9236,0,0,0
1783142957962972,1,1,91,14239,-16770,9787,-16926,0,0,0
1783142957964038,0,1,92,22987,-15988,23740,-7835,0,0,0
1783142957964047,1,1,92,14239,-16770,9787,-17442,0,0,0
1783142957965112,0,1,94,23696,-14917,23740,-7835,0,0,0
1783142957965121,1,1,95,13535,-17344,8895,-17442,0,0,0
1783142957966186,0,1,96,23696,-14917,24165,-6406,0,0,0
1783142957966197,1,1,96,13535,-17344,8895,-17913,0,0,0
1783142957967262,0,1,98,24355,-13815,24165,-6406,0,0,0
1783142957967271,1,1,99,12808,-17887,7980,-17913,0,0,0
1783142957968336,0,1,101,24962,-13815,24504,-4955,0,0,0
1783142957968345,1,1,101,12059,-17887,7980,-18339,0,0,0
1783142957969372,0,1,103,24962,-12684,24755,-4955,0,0,0
1783142957969385,1,1,104,12059,-18401,7045,-18718,0,0,0
1783142957970453,0,1,106,25517,-11526,24755,-3486,0,0,0
1783142957970482,1,1,106,11289,-18883,7045,-18718,0,0,0
1783142957971550,0,1,108,25517,-11526,24919,-2005,0,0,0
1783142957971559,1,1,108,11289,-18883,6093,-19050,0,0,0
1783142957972628,0,1,110,26019,-10344,24919,-2005,0,0,0
1783142957972638,1,1,110,10501,-19332,6093,-19050,0,0,0
1783142957973704,0,1,112,26019,-10344,24994,-516,0,0,0
1783142957973713,1,1,112,10501,-19332,5124,-19333,0,0,0
1783142957974782,0,1,114,26466,-9140,24994,-516,0,0,0
1783142957974794,1,1,114,9694,-19749,5124,-19333,0,0,0
1783142957975861,0,1,116,26466,-9140,24981,973,0,0,0
1783142957975870,1,1,116,9694,-19749,4143,-19567,0,0,0
1783142957976935,0,1,117,26857,-9140,24981,973,0,0,0
1783142957977005,1,1,118,8871,-20133,4143,-19567,0,0,0
1783142957978072,0,1,120,26857,-7917,24878,2460,0,0,0
1783142957978080,1,1,120,8871,-20133,3151,-19751,0,0,0
1783142957979148,0,1,122,27192,-6677,24878,2460,0,0,0
1783142957979157,1,1,122,8033,-20481,3151,-19751,0,0,0
1783142957980222,0,1,124,27192,-6677,24687,3938,0,0,0
1783142957980231,1,1,124,8033,-20481,2151,-19884,0,0,0
1783142957981296,0,1,125,27469,-6677,24687,3938,0,0,0
1783142957981305,1,1,125,7181,-20481,2151,-19884,0,0,0
1783142957982372,0,1,128,27469,-5424,24409,5402,0,0,0
1783142957982381,1,1,128,7181,-20796,1145,-19968,0,0,0
1783142957983448,0,1,129,27689,-5424,24409,5402,0,0,0
1783142957983499,1,1,130,6316,-21074,1145,-19968,0,0,0
1783142957984570,0,1,132,27689,-4159,24043,6847,0,0,0
1783142957984617,1,1,133,5441,-21074,137,-20000,0,0,0
1783142957985685,0,1,135,27851,-2885,23593,6847,0,0,0
1783142957985696,1,1,135,5441,-21317,-871,-20000,0,0,0
1783142957986768,0,1,137,27954,-2885,23593,8267,0,0,0
1783142957986779,1,1,138,4557,-21523,-871,-19982,0,0,0
1783142957987852,0,1,140,27954,-1605,23058,9658,0,0,0
1783142957987864,1,1,140,4557,-21523,-1877,-19912,0,0,0
1783142957988930,0,1,141,27998,-1605,23058,9658,0,0,0
1783142957988939,1,1,141,3665,-21523,-1877,-19912,0,0,0
1783142957990005,0,1,144,27998,-322,22441,11015,0,0,0
1783142957990014,1,1,144,3665,-21693,-2879,-19792,0,0,0
1783142957991079,0,1,145,27983,-322,22441,11015,0,0,0
1783142957991092,1,1,145,2767,-21693,-2879,-19792,0,0,0
1783142957992159,0,1,147,27983,961,21745,11015,0,0,0
1783142957992167,1,1,148,2767,-21826,-3873,-19622,0,0,0
1783142957993235,0,1,149,27909,961,21745,12333,0,0,0
1783142957993245,1,1,149,1864,-21826,-3873,-19622,0,0,0
1783142957994313,0,1,151,27909,2243,20971,12333,0,0,0
1783142957994325,1,1,152,1864,-21921,-4858,-19401,0,0,0
1783142957995372,0,1,153,27777,2243,20971,13606,0,0,0
1783142957995381,1,1,153,958,-21921,-4858,-19401,0,0,0
1783142957996445,0,1,155,27777,3521,20123,13606,0,0,0
1783142957996453,1,1,155,958,-21980,-5830,-19401,0,0,0
1783142957997523,0,1,157,27586,3521,20123,14832,0,0,0
1783142957997533,1,1,157,50,-21980,-5830,-19132,0,0,0
1783142957998603,0,1,159,27586,4790,19204,14832,0,0,0
1783142957998641,1,1,160,50,-22000,-6787,-18813,0,0,0
1783142957999708,0,1,161,27338,4790,19204,16005,0,0,0
1783142957999719,1,1,161,-857,-22000,-6787,-18813,0,0,0
1783142958000786,0,1,164,27338,6050,18216,17121,0,0,0
1783142958000795,1,1,163,-857,-21984,-7727,-18813,0,0,0
1783142958001860,0,1,167,27032,7297,17163,17121,0,0,0
1783142958001869,1,1,166,-1763,-21930,-7727,-18447,0,0,0
1783142958002936,0,1,168,27032,7297,17163,18176,0,0,0
1783142958002947,1,1,169,-2667,-21930,-8648,-18034,0,0,0
1783142958004021,0,1,171,26668,8529,16050,18176,0,0,0
1783142958004031,1,1,171,-2667,-21838,-9546,-18034,0,0,0
1783142958005097,0,1,172,26668,8529,16050,19166,0,0,0
1783142958005107,1,1,173,-3566,-21838,-9546,-17575,0,0,0
1783142958006176,0,1,175,26249,9742,14879,19166,0,0,0
1783142958006186,1,1,175,-3566,-21710,-10420,-17575,0,0,0
1783142958007253,0,1,176,26249,9742,14879,20088,0,0,0
1783142958007294,1,1,177,-4458,-21710,-10420,-17071,0,0,0
1783142958008366,0,1,179,25775,10936,13656,20088,0,0,0
1783142958008377,1,1,179,-4458,-21544,-11268,-17071,0,0,0
1783142958009444,0,1,180,25775,10936,13656,20939,0,0,0
1783142958009453,1,1,180,-4458,-21544,-11268,-16524,0,0,0
1783142958010499,0,1,183,25246,12106,12383,20939,0,0,0
1783142958010512,1,1,183,-5344,-21342,-12087,-16524,0,0,0
1783142958011578,0,1,184,25246,12106,12383,21716,0,0,0
1783142958011587,1,1,184,-5344,-21342,-12087,-15935,0,0,0
1783142958012664,0,1,187,24665,13251,11067,21716,0,0,0
1783142958012673,1,1,187,-6220,-21103,-12875,-15935,0,0,0
1783142958013739,0,1,188,24665,13251,11067,22415,0,0,0
1783142958013747,1,1,188,-6220,-21103,-12875,-15305,0,0,0
1783142958014815,0,1,191,24031,14368,9712,22415,0,0,0
1783142958014865,1,1,191,-7085,-20828,-13630,-15305,0,0,0
1783142958015951,0,1,194,23347,15454,9712,23035,0,0,0
1783142958015963,1,1,193,-7939,-20828,-13630,-14636,0,0,0
1783142958017032,0,1,196,23347,15454,8322,23573,0,0,0
1783142958017042,1,1,196,-7939,-20518,-14351,-13930,0,0,0
1783142958018109,0,1,198,22614,16508,8322,23573,0,0,0
1783142958018118,1,1,198,-8778,-20173,-14351,-13930,0,0,0
1783142958019183,0,1,200,22614,16508,6903,24027,0,0,0
1783142958019191,1,1,200,-8778,-20173,-15035,-13189,0,0,0
1783142958020257,0,1,202,21833,17528,6903,24027,0,0,0
1783142958020266,1,1,202,-9603,-19794,-15035,-13189,0,0,0
1783142958021332,0,1,204,21833,17528,5459,24395,0,0,0
1783142958021341,1,1,204,-9603,-19794,-15681,-12414,0,0,0
1783142958022374,0,1,206,21007,18510,5459,24395,0,0,0
1783142958022382,1,1,206,-10412,-19380,-15681,-12414,0,0,0
1783142958023448,0,1,208,21007,18510,3995,24677,0,0,0
1783142958023456,1,1,208,-10412,-19380,-16287,-11607,0,0,0
1783142958024524,0,1,210,20136,19454,3995,24677,0,0,0
1783142958024534,1,1,210,-11203,-18934,-16287,-11607,0,0,0
1783142958025600,0,1,212,20136,19454,2518,24871,0,0,0
1783142958025609,1,1,212,-11203,-18934,-16852,-10771,0,0,0
1783142958026674,0,1,214,19223,20357,2518,24871,0,0,0
1783142958026698,1,1,214,-11975,-18456,-16852,-10771,0,0,0
1783142958027764,0,1,216,19223,20357,1031,24977,0,0,0
1783142958027772,1,1,216,-11975,-18456,-17373,-9908,0,0,0
1783142958028872,0,1,218,18269,21217,1031,24977,0,0,0
1783142958028882,1,1,218,-12726,-17946,-17373,-9908,0,0,0
1783142958029956,0,1,221,17277,21217,-458,24994,0,0,0
1783142958029966,1,1,220,-12726,-17946,-17851,-9019,0,0,0
1783142958031032,0,1,223,17277,22032,-1947,24994,0,0,0
1783142958031071,1,1,223,-13456,-17406,-18283,-9019,0,0,0
1783142958032136,0,1,226,16249,22801,-1947,24923,0,0,0
1783142958032145,1,1,225,-14162,-17406,-18283,-8107,0,0,0
1783142958033216,0,1,228,16249,22801,-3428,24762,0,0,0
1783142958033232,1,1,228,-14162,-16835,-18668,-7175,0,0,0
1783142958034335,0,1,230,15187,23522,-3428,24762,0,0,0
1783142958034345,1,1,230,-14845,-16237,-18668,-7175,0,0,0
1783142958035372,0,1,232,15187,23522,-4898,24514,0,0,0
1783142958035381,1,1,232,-14845,-16237,-19006,-6224,0,0,0
1783142958036477,0,1,234,14092,24194,-4898,24514,0,0,0
1783142958036487,1,1,234,-15502,-15610,-19006,-6224,0,0,0
1783142958037554,0,1,236,14092,24194,-6350,24178,0,0,0
1783142958037563,1,1,236,-15502,-15610,-19296,-5258,0,0,0
1783142958038750,0,1,238,12968,24814,-6350,24178,0,0,0
1783142958038795,1,1,238,-16133,-14957,-19296,-5258,0,0,0
1783142958039863,0,1,240,12968,24814,-7779,23757,0,0,0
1783142958039872,1,1,240,-16133,-14957,-19537,-4278,0,0,0
1783142958040943,0,1,242,11817,25383,-7779,23757,0,0,0
1783142958040954,1,1,242,-16737,-14279,-19537,-4278,0,0,0
1783142958042022,0,1,244,11817,25383,-9181,23251,0,0,0
1783142958042031,1,1,244,-16737,-14279,-19728,-3288,0,0,0
1783142958043101,0,1,246,10640,25898,-9181,23251,0,0,0
1783142958043112,1,1,246,-17312,-13576,-19728,-3288,0,0,0
1783142958044177,0,1,248,10640,25898,-10551,22663,0,0,0
1783142958044186,1,1,248,-17312,-13576,-19868,-2289,0,0,0
1783142958045260,0,1,250,9442,26358,-10551,22663,0,0,0
1783142958045271,1,1,250,-17857,-12850,-19868,-2289,0,0,0
1783142958046338,0,1,252,9442,26358,-11882,21994,0,0,0
1783142958046347,1,1,252,-17857,-12850,-19958,-1284,0,0,0
1783142958047379,0,1,253,8223,26358,-11882,21994,0,0,0
1783142958047389,1,1,254,-18372,-12102,-19958,-1284,0,0,0
1783142958048508,0,1,256,8223,26764,-13172,21247,0,0,0
1783142958048517,1,1,256,-18372,-12102,-19998,-276,0,0,0
1783142958049583,0,1,259,6988,27112,-14414,21247,0,0,0
1783142958049592,1,1,259,-18856,-11334,-19986,-276,0,0,0
1783142958050742,0,1,262,5737,27404,-14414,20424,0,0,0
1783142958050776,1,1,262,-19307,-10546,-19986,732,0,0,0
1783142958051843,0,1,264,5737,27404,-15606,19529,0,0,0
1783142958051852,1,1,264,-19307,-10546,-19924,1739,0,0,0
1783142958052953,0,1,266,4475,27639,-15606,19529,0,0,0
1783142958053001,1,1,266,-19726,-9740,-19924,1739,0,0,0
1783142958054067,0,1,268,4475,27639,-16742,18564,0,0,0
1783142958054076,1,1,268,-19726,-9740,-19810,2742,0,0,0
1783142958055146,0,1,269,3203,27639,-16742,18564,0,0,0
1783142958055215,1,1,270,-20111,-8918,-19810,2742,0,0,0
1783142958056285,0,1,272,3203,27815,-17818,17534,0,0,0
1783142958056295,1,1,272,-20111,-8918,-19647,3737,0,0,0
1783142958057364,0,1,273,1924,27815,-17818,17534,0,0,0
1783142958057375,1,1,273,-20462,-8918,-19647,3737,0,0,0
1783142958058443,0,1,276,1924,27932,-18832,16441,0,0,0
