realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141216977048,0,0,0,0,0,0,0,0
1783141217858298,1,0,-28001,0,-25001,0,0,0
1783141217859388,2,2564,-27883,3133,-24803,0,0,0
1783141217860475,3,6364,-27268,7725,-23777,0,0,0
1783141217861554,4,8835,-26570,10644,-22621,0,0,0
1783141217862636,5,11231,-25649,13395,-21109,0,0,0
1783141217863722,6,13534,-24512,15935,-19263,0,0,0
1783141217864806,7,16768,-22424,19262,-15936,0,0,0
1783141217865887,8,18751,-20794,21108,-13396,0,0,0
1783141217866973,9,20577,-18989,22620,-10645,0,0,0
1783141217868056,10,22230,-17025,23776,-7726,0,0,0
1783141217869137,11,23696,-14917,24557,-4685,0,0,0
1783141217870221,12,25517,-11526,25000,-1,0,0,0
1783141217871306,13,26466,-9140,24802,3132,0,0,0
1783141217872384,14,27192,-6677,24214,6216,0,0,0
1783141217873466,15,27689,-4159,23244,9202,0,0,0
1783141217874547,16,27998,-322,21108,13394,0,0,0
1783141217875628,17,27909,2243,19262,15934,0,0,0
1783141217876716,18,27586,4790,17113,18223,0,0,0
1783141217878883,19,27032,7297,14694,20224,0,0,0
1783141217879968,20,25775,10936,10644,22619,0,0,0
1783141217881051,21,24665,13251,7725,23775,0,0,0
1783141217882135,22,23347,15454,4684,24556,0,0,0
1783141217883217,23,21833,17528,1569,24949,0,0,0
1783141217884305,24,20136,19454,-1569,24949,0,0,0
1783141217885383,25,17277,22032,-6217,24213,0,0,0
1783141217886468,26,15187,23522,-9203,23243,0,0,0
1783141217887548,27,12968,24814,-12043,21906,0,0,0
1783141217888630,28,10640,25898,-14694,20224,0,0,0
1783141217889713,29,6988,27112,-18224,17112,0,0,0
1783141217890799,30,4475,27639,-20225,14693,0,0,0
1783141217891883,31,1924,27932,-21907,12042,0,0,0
1783141217892964,32,-642,27991,-23244,9202,0,0,0
1783141217894047,33,-3203,27815,-24214,6216,0,0,0
1783141217895130,34,-6988,27112,-24950,1568,0,0,0
1783141217896212,35,-9442,26358,-24950,-1570,0,0,0
1783141217897297,36,-11817,25383,-24557,-4685,0,0,0
1783141217898385,37,-14092,24194,-23776,-7726,0,0,0
1783141217899468,39,-17277,22032,-21907,-12044,0,0,0
1783141217900549,40,-19223,20357,-20225,-14695,0,0,0
1783141217901635,41,-21007,18510,-18224,-17114,0,0,0
1783141217902719,42,-22614,16508,-15935,-19263,0,0,0
1783141217903802,43,-24031,14368,-13395,-21109,0,0,0
1783141217904885,44,-25775,10936,-9203,-23245,0,0,0
1783141217905968,45,-26668,8529,-6217,-24215,0,0,0
1783141217907050,46,-27338,6050,-3133,-24803,0,0,0
1783141217908132,47,-27777,3521,0,-25001,0,0,0
1783141217909214,48,-27983,961,3133,-24803,0,0,0
1783141217910295,49,-27851,-2885,7725,-23777,0,0,0
1783141217911381,50,-27469,-5424,10644,-22621,0,0,0
1783141217912464,51,-26857,-7917,13395,-21109,0,0,0
1783141217913547,52,-26019,-10344,15935,-19263,0,0,0
1783141217914630,53,-24355,-13815,19262,-15936,0,0,0
1783141217915710,54,-22987,-15988,21108,-13396,0,0,0
1783141217916793,55,-21426,-18026,22620,-10645,0,0,0
1783141217917874,56,-19685,-19913,23776,-7726,0,0,0
1783141217918955,57,-16768,-22424,24802,-3134,0,0,0
1783141217920038,58,-14643,-23866,25000,-1,0,0,0
1783141217921140,59,-12396,-25107,24802,3132,0,0,0
1783141217922280,60,-10044,-26137,24214,6216,0,0,0
1783141217923387,61,-7608,-26947,23244,9202,0,0,0
1783141217924549,62,-3840,-27736,21108,13394,0,0,0
1783141217925635,63,-1283,-27971,19262,15934,0,0,0
1783141217926717,64,1283,-27971,17113,18223,0,0,0
1783141217927837,65,3840,-27736,14694,20224,0,0,0
1783141217928945,66,6364,-27268,12043,21906,0,0,0
1783141217930108,67,10044,-26137,7725,23775,0,0,0
1783141217931151,68,12396,-25107,4684,24556,0,0,0
1783141217932247,69,14643,-23866,1569,24949,0,0,0
1783141217933346,70,16768,-22424,-1569,24949,0,0,0
1783141217935471,71,19685,-19913,-6217,24213,0,0,0
1783141217936518,72,21426,-18026,-9203,23243,0,0,0
1783141217937604,73,22987,-15988,-12043,21906,0,0,0
1783141217938687,74,24355,-13815,-14694,20224,0,0,0
1783141217939730,75,26019,-10344,-18224,17112,0,0,0
1783141217940812,76,26857,-7917,-20225,14693,0,0,0
1783141217941894,77,27469,-5424,-21907,12042,0,0,0
1783141217942976,78,27851,-2885,-23244,9202,0,0,0
1783141217944057,79,27998,-322,-24214,6216,0,0,0
1783141217945140,80,27777,3521,-24950,1568,0,0,0
1783141217946223,81,27338,6050,-24950,-1570,0,0,0
1783141217947306,82,26668,8529,-24557,-4685,0,0,0
1783141217948383,83,25775,10936,-23776,-7726,0,0,0
1783141217949467,84,24665,13251,-22620,-10645,0,0,0
1783141217950549,85,22614,16508,-20225,-14695,0,0,0
1783141217951632,86,21007,18510,-18224,-17114,0,0,0
1783141217952715,87,19223,20357,-15935,-19263,0,0,0
1783141217953797,88,17277,22032,-13395,-21109,0,0,0
1783141217954878,89,14092,24194,-9203,-23245,0,0,0
1783141217955963,90,11817,25383,-6217,-24215,0,0,0
1783141217957045,91,9442,26358,-3133,-24803,0,0,0
1783141217958128,92,6988,27112,0,-25001,0,0,0
1783141217959211,93,4475,27639,3133,-24803,0,0,0
1783141217960293,94,642,27991,7725,-23777,0,0,0
1783141217961380,95,-1924,27932,10644,-22621,0,0,0
1783141217962462,96,-4475,27639,13395,-21109,0,0,0
1783141217963545,97,-6988,27112,15935,-19263,0,0,0
1783141217964632,98,-10640,25898,19262,-15936,0,0,0
1783141217965715,99,-12968,24814,21108,-13396,0,0,0
1783141217966798,100,-15187,23522,22620,-10645,0,0,0
1783141217967885,101,-17277,22032,23776,-7726,0,0,0
1783141217968965,102,-20136,19454,24802,-3134,0,0,0
1783141217970047,103,-21833,17528,25000,-1,0,0,0
1783141217971185,104,-23347,15454,24802,3132,0,0,0
1783141217972269,105,-24665,13251,24214,6216,0,0,0
1783141217973387,106,-25775,10936,23244,9202,0,0,0
1783141217974487,107,-27032,7297,21108,13394,0,0,0
1783141217975605,108,-27586,4790,19262,15934,0,0,0
1783141217976697,109,-27909,2243,17113,18223,0,0,0
1783141217977859,110,-27998,-322,14694,20224,0,0,0
1783141217978938,111,-27851,-2885,12043,21906,0,0,0
1783141217980076,112,-27192,-6677,7725,23775,0,0,0
1783141217981157,113,-26466,-9140,4684,24556,0,0,0
1783141217982260,114,-25517,-11526,1569,24949,0,0,0
1783141217983389,115,-24355,-13815,-1569,24949,0,0,0
1783141217985616,117,-20577,-18989,-9203,23243,0,0,0
1783141217986699,118,-18751,-20794,-12043,21906,0,0,0
1783141217987810,119,-16768,-22424,-14694,20224,0,0,0
1783141217988930,120,-14643,-23866,-17113,18223,0,0,0
1783141217990028,121,-11231,-25649,-20225,14693,0,0,0
