realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142927708839,1,1,1346,7561,-20660,-8315,18188,0,0,0
1783142927712050,0,1,1347,9442,25898,21857,-12135,0,0,0
1783142927712059,1,1,1348,6702,-20955,-8315,18188,0,0,0
1783142927713125,0,1,1350,9442,26358,22541,-10811,0,0,0
1783142927713134,1,1,1350,6702,-20955,-7388,18584,0,0,0
1783142927715273,0,1,1351,8223,26358,22541,-10811,0,0,0
1783142927715303,1,1,1352,5831,-21213,-7388,18584,0,0,0
1783142927716374,0,1,1354,8223,26764,23146,-9448,0,0,0
1783142927716384,1,1,1354,5831,-21213,-6441,18933,0,0,0
1783142927719599,0,1,1355,6988,26764,23146,-9448,0,0,0
1783142927719609,1,1,1355,4951,-21213,-6441,18933,0,0,0
1783142927720673,0,1,1357,6988,27112,23667,-9448,0,0,0
1783142927720681,1,1,1358,4951,-21436,-5478,19234,0,0,0
1783142927721746,0,1,1358,6988,27112,23667,-8052,0,0,0
1783142927723893,0,1,1359,5737,27112,23667,-8052,0,0,0
1783142927723903,1,1,1359,4062,-21436,-5478,19234,0,0,0
1783142927724970,0,1,1361,5737,27404,24105,-8052,0,0,0
1783142927724981,1,1,1362,4062,-21622,-4501,19485,0,0,0
1783142927726046,0,1,1362,5737,27404,24105,-6628,0,0,0
1783142927728173,0,1,1363,4475,27404,24105,-6628,0,0,0
1783142927728184,1,1,1363,3167,-21622,-4501,19485,0,0,0
1783142927729252,0,1,1366,4475,27639,24457,-5180,0,0,0
1783142927729263,1,1,1365,3167,-21771,-3513,19485,0,0,0
1783142927730336,1,1,1366,3167,-21771,-3513,19688,0,0,0
1783142927731377,0,1,1367,3203,27639,24457,-5180,0,0,0
1783142927731391,1,1,1367,2266,-21771,-3513,19688,0,0,0
1783142927732462,0,1,1370,3203,27815,24722,-3713,0,0,0
1783142927732507,1,1,1370,2266,-21883,-2515,19840,0,0,0
1783142927735720,0,1,1371,1924,27815,24722,-3713,0,0,0
1783142927735733,1,1,1371,1361,-21883,-2515,19840,0,0,0
1783142927736803,0,1,1373,1924,27932,24900,-3713,0,0,0
1783142927736815,1,1,1374,1361,-21958,-1512,19941,0,0,0
1783142927737881,0,1,1374,1924,27932,24900,-2233,0,0,0
1783142927740029,0,1,1375,642,27932,24900,-2233,0,0,0
1783142927740039,1,1,1375,454,-21958,-1512,19941,0,0,0
1783142927741105,0,1,1377,642,27991,24988,-2233,0,0,0
1783142927741115,1,1,1377,454,-21996,-504,19941,0,0,0
1783142927742181,0,1,1378,642,27991,24988,-746,0,0,0
1783142927742190,1,1,1378,454,-21996,-504,19992,0,0,0
1783142927744330,0,1,1379,-642,27991,24988,-746,0,0,0
1783142927744341,1,1,1379,-454,-21996,-504,19992,0,0,0
1783142927745372,0,1,1380,-642,27991,24988,744,0,0,0
1783142927745381,1,1,1380,-454,-21996,504,19992,0,0,0
1783142927747541,0,1,1381,-1924,27991,24988,744,0,0,0
1783142927747552,1,1,1381,-1361,-21996,504,19992,0,0,0
1783142927748618,0,1,1383,-1924,27932,24900,744,0,0,0
1783142927748626,1,1,1384,-1361,-21958,1512,19941,0,0,0
1783142927749690,0,1,1384,-1924,27932,24900,2231,0,0,0
1783142927751836,0,1,1385,-3203,27932,24900,2231,0,0,0
1783142927752910,0,1,1387,-3203,27815,24722,2231,0,0,0
1783142927752919,1,1,1387,-2266,-21883,2515,19941,0,0,0
1783142927753984,0,1,1388,-3203,27815,24722,3711,0,0,0
1783142927753992,1,1,1388,-2266,-21883,2515,19840,0,0,0
1783142927757171,0,1,1390,-4475,27639,24722,3711,0,0,0
1783142927757183,1,1,1391,-3167,-21771,3513,19840,0,0,0
1783142927758250,0,1,1392,-4475,27639,24457,5178,0,0,0
1783142927758259,1,1,1392,-3167,-21771,3513,19688,0,0,0
1783142927760373,0,1,1395,-5737,27404,24105,5178,0,0,0
1783142927760382,1,1,1394,-4062,-21622,3513,19688,0,0,0
1783142927761448,0,1,1396,-5737,27404,24105,6626,0,0,0
1783142927761456,1,1,1396,-4062,-21622,4501,19485,0,0,0
1783142927764645,0,1,1398,-6988,27112,24105,6626,0,0,0
1783142927764656,1,1,1399,-4951,-21436,5478,19485,0,0,0
1783142927765723,0,1,1400,-6988,27112,23667,8050,0,0,0
1783142927765731,1,1,1400,-4951,-21436,5478,19234,0,0,0
1783142927768963,0,1,1402,-8223,26764,23667,8050,0,0,0
1783142927768973,1,1,1402,-5831,-21213,5478,19234,0,0,0
1783142927770038,0,1,1404,-8223,26764,23146,9446,0,0,0
1783142927770047,1,1,1404,-5831,-21213,6441,18933,0,0,0
1783142927773254,0,1,1406,-9442,26358,23146,9446,0,0,0
1783142927773263,1,1,1406,-6702,-20955,6441,18933,0,0,0
1783142927774329,0,1,1408,-9442,26358,22541,10809,0,0,0
1783142927774338,1,1,1409,-6702,-20955,7388,18584,0,0,1
