realtime_us,slot,action,result
1783108434559199,0,start,0
1783108434560240,1,start,0
1783108434560243,2,start,1167
1783108434560244,3,start,1167
1783108435059839,0,stop,0
1783108435060896,1,stop,0
1783108435060898,2,stop,1167
1783108435060900,3,stop,1167
