realtime_us,slot,action,result
1783142902207294,0,start,0
1783142902208374,1,start,0
1783142902208376,2,start,1167
1783142902208377,3,start,1167
1783142902706294,0,stop,1167
1783142905396779,1,stop,0
1783142905396784,2,stop,1167
1783142905396785,3,stop,1167
