realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141189582127,0,0,0,0,0,0,0,0
1783141190718474,1,0,-28001,0,-25001,0,0,0
1783141190719555,2,2564,-27883,3133,-24803,0,0,0
1783141190720635,3,3840,-27736,4684,-24558,0,0,0
1783141190721717,4,5107,-27531,6217,-24215,0,0,0
1783141190722797,5,6364,-27268,7725,-23777,0,0,0
1783141190723882,6,7608,-26947,9203,-23245,0,0,0
1783141190724964,7,8835,-26570,10644,-22621,0,0,0
1783141190726049,8,10044,-26137,12043,-21908,0,0,0
1783141190727129,9,11231,-25649,13395,-21109,0,0,0
1783141190728214,10,12396,-25107,14694,-20226,0,0,0
1783141190729297,11,14643,-23866,17113,-18225,0,0,0
1783141190730384,12,15722,-23170,18224,-17114,0,0,0
1783141190731472,13,16768,-22424,19262,-15936,0,0,0
1783141190732554,14,17778,-21632,20225,-14695,0,0,0
1783141190733636,15,18751,-20794,21108,-13396,0,0,0
1783141190734723,16,19685,-19913,21907,-12044,0,0,0
1783141190735805,17,20577,-18989,22620,-10645,0,0,0
1783141190736887,18,21426,-18026,23244,-9204,0,0,0
1783141190737972,19,22230,-17025,23776,-7726,0,0,0
1783141190739055,20,22987,-15988,24214,-6218,0,0,0
1783141190740138,21,23696,-14917,24557,-4685,0,0,0
1783141190741219,22,24962,-12684,24950,-1570,0,0,0
1783141190742302,23,25517,-11526,25000,-1,0,0,0
1783141190743383,24,26019,-10344,24950,1568,0,0,0
1783141190744468,25,26466,-9140,24802,3132,0,0,0
1783141190745551,26,26857,-7917,24557,4683,0,0,0
1783141190746633,27,27192,-6677,24214,6216,0,0,0
1783141190747715,28,27469,-5424,23776,7724,0,0,0
1783141190748797,29,27689,-4159,23244,9202,0,0,0
1783141190749879,30,27851,-2885,22620,10643,0,0,0
1783141190750960,31,27954,-1605,21907,12042,0,0,0
1783141190752047,32,27983,961,20225,14693,0,0,0
1783141190753128,33,27909,2243,19262,15934,0,0,0
1783141190754214,34,27777,3521,18224,17112,0,0,0
1783141190755301,35,27586,4790,17113,18223,0,0,0
1783141190756383,36,27338,6050,15935,19261,0,0,0
1783141190757472,37,27032,7297,14694,20224,0,0,0
1783141190758560,38,26668,8529,13395,21107,0,0,0
1783141190759643,39,26249,9742,12043,21906,0,0,0
1783141190760725,40,25775,10936,10644,22619,0,0,0
1783141190761809,41,24665,13251,7725,23775,0,0,0
1783141190762892,42,24031,14368,6217,24213,0,0,0
1783141190763974,43,23347,15454,4684,24556,0,0,0
1783141190765056,44,22614,16508,3133,24801,0,0,0
1783141190766136,45,21833,17528,1569,24949,0,0,0
